Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_ACTIVOSFIJOS.ACCESORIO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ACTIVOSFIJOS.ACCESORIO,SECUENCIALACTIVO,int,NO,MUL,,
FBS_ACTIVOSFIJOS.ACCESORIO,DESCRIPCION,varchar(200),NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO,MODELO,varchar(50),NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO,MARCA,varchar(50),NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO,NUMEROSERIE,varchar(50),NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_ACTIVOSFIJOS.ACCESORIO,FECHAMAQUINA,datetime(3),NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO,FECHASISTEMA,datetime(3),NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO,NUMEROVERIFICADOR,int,NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ACTIVOSFIJOS.ACCESORIO_BAJA,SECUENCIALACCESORIO,int,NO,PRI,,
FBS_ACTIVOSFIJOS.ACCESORIO_BAJA,MOTIVO,varchar(150),NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO_BAJA,FECHABAJA,datetime(3),NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO_BAJA,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_ACTIVOSFIJOS.ACCESORIO_BAJA,FECHAMAQUINA,datetime(3),NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO_BAJA,FECHASISTEMA,datetime(3),NO,,,
FBS_ACTIVOSFIJOS.ACCESORIO_BAJA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ACTIVOSFIJOS.ACTIVO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ACTIVOSFIJOS.ACTIVO,SECUENCIALDIVESTRUCTURAACTFIJO,int,NO,MUL,,
FBS_ACTIVOSFIJOS.ACTIVO,NUMEROSECUENCIAL,int,NO,,,
FBS_ACTIVOSFIJOS.ACTIVO,DESCRIPCION,varchar(400),NO,,,
FBS_ACTIVOSFIJOS.ACTIVO,FECHAADQUISICION,datetime(3),NO,,,
FBS_ACTIVOSFIJOS.ACTIVO,COSTO,"decimal(18,2)",NO,,,
FBS_ACTIVOSFIJOS.ACTIVO,OTROSCOSTOS,"decimal(18,2)",NO,,0.00,
FBS_ACTIVOSFIJOS.ACTIVO,MODELO,varchar(100),NO,,,
FBS_ACTIVOSFIJOS.ACTIVO,MARCA,varchar(100),NO,,,
FBS_ACTIVOSFIJOS.ACTIVO,NUMEROSERIE,varchar(100),NO,,,
FBS_ACTIVOSFIJOS.ACTIVO,SECUENCIALPERSONARESPONSABLE,int,NO,MUL,,
