Table,Column Name,Data Type,Nullable,Key,Default,Extra
#TMPAUXSALDOCONTABLE,SECUENCIALCUENTACONTABLE,int,YES,,,
#TMPAUXSALDOCONTABLE,CODIGOCUENTACONTABLE,varchar(25),YES,,,
#TMPAUXSALDOCONTABLE,FECHA,date,YES,,,
#TMPAUXSALDOCONTABLE,SECUENCIALDIVISIONORGANIZACION,int,YES,,,
#TMPAUXSALDOCONTABLE,OFICNA,varchar(50),YES,,,
#TMPAUXSALDOCONTABLE,SALDODEBITO,"decimal(18,2)",YES,,,
#TMPAUXSALDOCONTABLE,SALDOCREDITO,"decimal(18,2)",YES,,,
#TMPAUXSALDOCONTABLE,DEBITO,"decimal(18,2)",YES,,,
#TMPAUXSALDOCONTABLE,CREDITO,"decimal(18,2)",YES,,,
#TMPAUXSALDOCONTABLE,DIFERENCIA,"decimal(18,2)",YES,,,
#TMPAUXSALDOCONTABLE,ESDEBITO,tinyint unsigned,YES,,,
#T_OFICINAS,SECUENCIALOFICINA,int,YES,,,
#T_OFICINAS,NOMBREOFICINA,varchar(100),YES,,,
ACTIVOSFIJOS.V_CUENTASDIVISIONESTRUCTURA,SECUENCIALDIVISIONACTIVO,int,NO,,0,
ACTIVOSFIJOS.V_CUENTASDIVISIONESTRUCTURA,SECUENCIALCTACBLEACTIVO,int,NO,,,
ACTIVOSFIJOS.V_CUENTASDIVISIONESTRUCTURA,SECUENCIALCTACBLEDEPRECIACION,bigint,NO,,0,
ACTIVOSFIJOS.V_CUENTASDIVISIONESTRUCTURA,SECUENCIALCTACBLEGASTO,bigint,NO,,0,
ACTIVOSFIJOS.V_LISTACUENTASDIVISIONESTRUCTURA,SECUENCIAL,int,NO,,0,
ACTIVOSFIJOS.V_LISTACUENTASDIVISIONESTRUCTURA,CODIGO,varchar(20),NO,,,
ACTIVOSFIJOS.V_LISTACUENTASDIVISIONESTRUCTURA,NOMBRE,varchar(4000),NO,,,
ACTIVOSFIJOS.V_LISTACUENTASDIVISIONESTRUCTURA,CODIGOTIPOCUENTA,varchar(1),NO,,,
ACTIVOSFIJOS.V_LISTACUENTASDIVISIONESTRUCTURA,TIPOCUENTA,varchar(50),NO,,,
ARBOLDIVISION,SECUENCIALTIPODIVISION,int,NO,,,
ARBOLDIVISION,SECUENCIAL,int,NO,,0,
ARBOLDIVISION,CODIGO,varchar(20),NO,,,
ARBOLDIVISION,NOMBRE,varchar(4000),NO,,,
ARBOLDIVISION,SECUENCIALDIVISIONPADRE,int,YES,,,
ARBOLDIVISION,NIVEL,int,NO,,,
AREASENOFICINACUENTACONTABLE_VISTA,SECUENCIALCUENTACONTABLE,int,NO,,,
AREASENOFICINACUENTACONTABLE_VISTA,SECUENCIALAREACTACONTABLE,int,NO,,,
AREASENOFICINACUENTACONTABLE_VISTA,SECUENCIALOFICINA,int,NO,,,
AREASENOFICINACUENTACONTABLE_VISTA,SECUENCIALAREAOFICINA,int,NO,,,
AUXILIAR_CALIFICACIONPRESTAMO,SECUENCIAL,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,SECUENCIALPRESTAMO,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,DIASMOROSIDAD,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,SALDOPRESTAMO,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,SECUENCIALCONDICIONCALIFAUT,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,SECUENCIALCONDICIONCALIFMANUAL,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,PROVISIONAUTOMATICA,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,PROVISIONMANUAL,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,PROVISIONCONSTITUIDA,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,CODIGOUSUARIO,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,FECHACALIFICACION,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,FECHAMAQUINA,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,NUMEROVERIFICADOR,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,PROVISIONORIGINAL,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,ESHOMOLOGADA,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,SECUENCIALCONDCALIFAUTORIGINAL,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,PROVISIONVOLUNTARIA,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,PROVISIONFONDEADOR,varchar(255),YES,,,
AUXILIAR_CALIFICACIONPRESTAMO,CONCURRENCIA,varchar(255),YES,,,
AUXILIAR_PRESTAMOMAESTRO,SECUENCIAL,varchar(255),YES,MUL,,
AUXILIAR_PRESTAMOMAESTRO,CALIFICACIONACTUAL,varchar(255),YES,,,
AUXILIAR_PRESTAMOMAESTRO,CALIFICACIONPEOR,varchar(255),YES,,,
AUXILIAR_PRESTAMOMAESTRO,CATEGORIAACTUAL,varchar(255),YES,,,
AUXILIAR_PRESTAMOMAESTRO,CATEGORIAPEOR,varchar(255),YES,,,
AUXSALDOCONTABLE07,SECUENCIAL,int,NO,,0,
AUXSALDOCONTABLE07,SECUENCIALCUENTACONTABLE,int,NO,,,
AUXSALDOCONTABLE07,SECUENCIALDIVISIONORGANIZACION,int,NO,,,
AUXSALDOCONTABLE07,FECHA,datetime(3),NO,,,
AUXSALDOCONTABLE07,SECUENCIALMONEDA,int,NO,,,
AUXSALDOCONTABLE07,SALDOINICIAL,"decimal(18,2)",NO,,,
AUXSALDOCONTABLE07,TOTALDEBITO,"decimal(18,2)",NO,,,
AUXSALDOCONTABLE07,TOTALCREDITO,"decimal(18,2)",NO,,,
AUXSALDOCONTABLE07,ESTACERRADO,tinyint unsigned,NO,,,
AUXSALDOCONTABLE07,NUMEROVERIFICADOR,int,NO,,,
AUXSALDOCONTABLE07,SECMIGRA,int,YES,,,
AUXSALDOCONTABLE07,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
AYUDAACTIVOFIJONOV,SECUENCIAL,int,YES,,,
AYUDAACTIVOFIJONOV,SECUENCIALDIVISIONACTIVOFIJO,int,YES,,,
AYUDAACTIVOFIJONOV,NUMEROSECUENCIAL,int,YES,,,
AYUDAACTIVOFIJONOV,DESCRIPCION,varchar(400),YES,,,
AYUDAACTIVOFIJONOV,FECHAADQUISICION,datetime,YES,,,
AYUDAACTIVOFIJONOV,COSTO,"decimal(18,2)",YES,,,
AYUDAACTIVOFIJONOV,MODELO,varchar(100),YES,,,
AYUDAACTIVOFIJONOV,MARCA,varchar(100),YES,,,
AYUDAACTIVOFIJONOV,NUMEROSERIE,varchar(100),YES,,,
AYUDAACTIVOFIJONOV,IDENTIFICACIONPERSONARESPONSABLE,varchar(40),YES,,,
AYUDAACTIVOFIJONOV,CODIGOESTADOACTIVO,varchar(10),YES,,,
AYUDAACTIVOFIJONOV,CODIGOUSUARIO,varchar(25),YES,,,
AYUDAACTIVOFIJONOV,CODIGOCOMPUESTO,varchar(100),YES,,,
AYUDAACTIVOFIJONOV,SEPRORRATEA,int,YES,,,
AYUDAACTIVOFIJONOV,SECUENCIALOFICINADEPARTAMENTO,int,YES,,,
AYUDAACTIVOFIJONOV,ESACTIVODIFERIDO,int,YES,,,
AYUDAACTIVOFIJONOV,CODIGOESTADOFISICOACTIVO,varchar(10),YES,,,
AYUDAACTIVOFIJONOV,FACTURA,varchar(50),YES,,,
AYUDAACTIVOFIJONOV,PROVEEDOR,varchar(50),YES,,,
AYUDAACTIVOFIJONOV,FECHACALCULO,datetime,YES,,,
AYUDAACTIVOFIJONOV,PORCDEPRECIACIONPERIODO,"decimal(18,2)",YES,,,
AYUDAACTIVOFIJONOV,PORCEDEPRECIACIONACUMULADA,"decimal(18,2)",YES,,,
AYUDAACTIVOFIJONOV,DEPRECIACIONACUMULADA,"decimal(18,2)",YES,,,
AYUDAACTIVOFIJONOV,DEPRECIACIONPERIODO,"decimal(18,2)",YES,,,
AYUDAACTIVOFIJONOV,SALDOLIBROS,"decimal(18,2)",YES,,,
AYUDACALIFICACION,SECUENCIALPRESTAMO,int,NO,,,
AYUDACALIFICACION,NUMEROPRESTAMO,varchar(20),NO,,,
AYUDACALIFICACION,CALIFICACIONACTUAL,char(3),NO,,,
AYUDACALIFICACION,TOTALCUOTASPAGADAS,bigint,NO,,0,
AYUDACALIFICACION,FECHAPAGO,datetime(3),NO,,,
AYUDACALIFICACION,CODIGOCALIFICACIONCONTABLE,varchar(10),NO,,,
AYUDACALIFICACION,SECUENCIALCONDICIONCALIFAUT,bigint,YES,,,
AYUDACALIFICACION,SECUENCIALCONDICIONCALIFAUT_INTERES,bigint,YES,,,
AYUDACALIFICACION,NUEVACALIFICACION,varchar(3),NO,,,
AYUDACALIFICACION,PORCENTAJEFIJO,"decimal(18,2)",NO,,,
AYUDACALIFICACION,PORCENTAJEFONDEADOR,"decimal(18,2)",NO,,0.00,
AYUDACALIFICACION,NUEVACATEGORIA,varchar(100),NO,,,
AYUDACALIFICACION,PORCENTAJEFIJO_INTERES,"decimal(18,2)",NO,,,
AYUDAPCC,SECPCC,int,NO,PRI,,
AYUDAPCC,VALORACTUALIZAR,"decimal(18,2)",YES,,,
AYUDA_EMPLEADOJEFATURA,SECUENCIALPERSONA,int,YES,,,
AYUDA_EMPLEADOJEFATURA,CEDULA,varchar(20),NO,,,
AYUDA_EMPLEADOJEFATURA,CEDULAJEFE,varchar(20),NO,,,
AYUDA_EMPLEADOJEFATURA,SECUENCIALPERSONAJEFE,int,YES,,,
AYUDA_EMPLEADOSEGURIDADSOCIAL,SECUENCIALPERSONA,int,YES,,,
AYUDA_EMPLEADOSEGURIDADSOCIAL,CEDULA,varchar(40),YES,,,
AYUDA_EMPLEADOSEGURIDADSOCIAL,SEGURIDADSOCIAL,varchar(40),YES,,,
CLIENTE_ASESOR_AYUDA,SECUENCIALCLIENTE,int,NO,PRI,,
CLIENTE_ASESOR_AYUDA,CODIGOASESOR,varchar(25),NO,,,
CLIENTE_ASESOR_AYUDA,NUMEROVERIFICADOR,int,NO,,,
CLIENTE_ASESOR_AYUDA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
CUENTADIVISION,SECUENCIALDIVISION,int,NO,,,
CUENTADIVISION,NOMBRE,text,NO,,,
DBO.ABONOSDUPLICADOSSQNMAY2023,SECUENCIALPRESTAMO,int,YES,,,
DBO.ABONOSDUPLICADOSSQNMAY2023,NUMEROPRESTAMO,varchar(20),YES,,,
DBO.ABONOSDUPLICADOSSQNMAY2023,VALOR,"decimal(18,2)",YES,,,
DBO.ABONOSDUPLICADOSSQNMAY2023,DOCUMENTO,varchar(50),YES,,,
DBO.ABONOSDUPLICADOSSQNMAY2023,FECHA,datetime,YES,,,
DBO.ABONOSDUPLICADOSSQNMAY2023,FECHAMAQUINA,datetime,YES,,,
DBO.ACTIVOS,CEDULA,varchar(30),YES,,,
DBO.ADVANCYS,EMPLEADO,varchar(255),YES,,,
DBO.ADVANCYS,VALOR,"decimal(18,2)",YES,,,
DBO.INACTIVOS,CEDULA,varchar(30),YES,,,
DBO.OBLIGACIONCOMPONENTE_OBLIG,SECUENCIAL,int,NO,,,
DBO.OBLIGACIONCOMPONENTE_OBLIG,SECUENCIALOBLIGACION,int,NO,,,
DBO.OBLIGACIONCOMPONENTE_OBLIG,SECUENCIALCOMPONENTEOBLIGACION,int,NO,,,
DBO.OBLIGACIONCOMPONENTE_OBLIG,VALORPROYECTADO,"decimal(18,2)",NO,,,
DBO.OBLIGACIONCOMPONENTE_OBLIG,VALORCALCULADO,"decimal(18,2)",NO,,,
DBO.OBLIGACIONCOMPONENTE_OBLIG,VALORPAGADO,"decimal(18,2)",NO,,,
DBO.OBLIGACIONCOMPONENTE_OBLIG,FECHAINICIO,datetime(3),NO,,,
DBO.OBLIGACIONCOMPONENTE_OBLIG,FECHAVENCIMIENTO,datetime(3),NO,,,
