Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_BANKINGLY.EMPRESA_PARAMETROBANKINGLY,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_BANKINGLY.EMPRESA_PARAMETROBANKINGLY,SECUENCIALTRANSACTRANSFERENCIACUENTAS,int,NO,MUL,,
FBS_BANKINGLY.EMPRESA_PARAMETROBANKINGLY,SECUENCIALTRANSACABONOPRESTAMO,int,NO,MUL,,
FBS_BANKINGLY.EMPRESA_PARAMETROBANKINGLY,SECUENCIALTRANSACPAGOSERVICIOS,int,NO,MUL,,
FBS_BANKINGLY.EMPRESA_PARAMETROBANKINGLY,NUMEROVERIFICADOR,int,NO,,,
FBS_BANKINGLY.EMPRESA_PARAMETROBANKINGLY,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_BANKINGLY.HISTORICOTRANSACCION,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_BANKINGLY.HISTORICOTRANSACCION,TRANSACTIONID,int,NO,MUL,,
FBS_BANKINGLY.HISTORICOTRANSACCION,SECUENCIALOFICINA,int,NO,MUL,,
FBS_BANKINGLY.HISTORICOTRANSACCION,SECUENCIALCLIENTEORIGEN,int,NO,MUL,,
FBS_BANKINGLY.HISTORICOTRANSACCION,CODIGOTIPOPRODUCTOORIGEN,varchar(20),NO,,,
FBS_BANKINGLY.HISTORICOTRANSACCION,NUMEROPRODUCTOORIGEN,varchar(20),NO,,,
FBS_BANKINGLY.HISTORICOTRANSACCION,MONTO,"decimal(18,2)",NO,,,
FBS_BANKINGLY.HISTORICOTRANSACCION,SECUENCIALCLIENTEDESTINO,int,NO,MUL,,
FBS_BANKINGLY.HISTORICOTRANSACCION,CODIGOTIPOPRODUCTODESTINO,varchar(20),NO,,,
FBS_BANKINGLY.HISTORICOTRANSACCION,NUMEROPRODUCTODESTINO,varchar(20),NO,,,
FBS_BANKINGLY.HISTORICOTRANSACCION,SECUENCIALTRANSACCION,int,NO,MUL,,
FBS_BANKINGLY.HISTORICOTRANSACCION,DOCUMENTO,varchar(40),NO,,,
FBS_BANKINGLY.HISTORICOTRANSACCION,FECHASISTEMA,datetime(3),NO,MUL,,
FBS_BANKINGLY.HISTORICOTRANSACCION,FECHAMAQUINA,datetime(3),NO,,,
FBS_BANKINGLY.HISTORICOTRANSACCION,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_BANKINGLY.HISTORICOTRANSACCION,PROCESADO,tinyint unsigned,NO,,,
FBS_BANKINGLY.HISTORICOTRANSACCION,NUMEROVERIFICADOR,int,NO,,,
FBS_BANKINGLY.HISTORICOTRANSACCION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTE,TRANSACCIONID,int,NO,MUL,,
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTE,FECHASISTEMA,datetime(3),NO,,,
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTE,FECHAMAQUINA,datetime(3),NO,,,
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTE,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTE,CODIGOESTADO,varchar(20),NO,,,
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTE,NUMEROVERIFICADOR,int,NO,,,
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTEDETALLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTEDETALLE,SECUENCIALSOLICITUDTRANSACCIONENLOTE,int,NO,MUL,,
FBS_BANKINGLY.SOLICITUDTRANSACCIONENLOTEDETALLE,TRANSACTIONITEMID,int,NO,,,
