Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CAJAS.AUTORIZAMONTOCAJAS,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAJAS.AUTORIZAMONTOCAJAS,CODIGOUSUARIOCAJAS,varchar(25),NO,MUL,,
FBS_CAJAS.AUTORIZAMONTOCAJAS,FECHAACTIVA,datetime(3),NO,,,
FBS_CAJAS.AUTORIZAMONTOCAJAS,SECUENCIALOFICINA,int,NO,MUL,,
FBS_CAJAS.AUTORIZAMONTOCAJAS,TOTALEFECTIVO,"decimal(18,2)",NO,,,
FBS_CAJAS.AUTORIZAMONTOCAJAS,TOTALCHEQUE,"decimal(18,2)",NO,,,
FBS_CAJAS.AUTORIZAMONTOCAJAS,VALORMAXIMOPERMITIDO,"decimal(18,2)",NO,,,
FBS_CAJAS.AUTORIZAMONTOCAJAS,VALORAUTORIZA,"decimal(18,2)",NO,,,
FBS_CAJAS.AUTORIZAMONTOCAJAS,OBSERVACION,varchar(200),NO,,,
FBS_CAJAS.AUTORIZAMONTOCAJAS,ESBOVEDA,tinyint unsigned,NO,,,
FBS_CAJAS.AUTORIZAMONTOCAJAS,ESTAPROCESADO,tinyint unsigned,NO,,,
FBS_CAJAS.AUTORIZAMONTOCAJAS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAJAS.AUTORIZAMONTOCAJAS_USUARIOPROCESA,SECUENCIALAUTORIZACIONMONTOCAJAS,int,NO,PRI,,
FBS_CAJAS.AUTORIZAMONTOCAJAS_USUARIOPROCESA,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CAJAS.AUTORIZAMONTOCAJAS_USUARIOPROCESA,FECHASISTEMA,datetime(3),NO,,,
FBS_CAJAS.AUTORIZAMONTOCAJAS_USUARIOPROCESA,FECHAMAQUINA,datetime(3),NO,,,
FBS_CAJAS.AUTORIZAMONTOCAJAS_USUARIOPROCESA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAJAS.BOVEDA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAJAS.BOVEDA,SECUENCIALOFICINA,int,NO,MUL,,
FBS_CAJAS.BOVEDA,CODIGOUSUARIORESPONSABLE,varchar(25),NO,MUL,,
FBS_CAJAS.BOVEDA,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_CAJAS.BOVEDA,NUMEROVERIFICADOR,int,NO,,,
FBS_CAJAS.BOVEDA,EXISTENCIAMINIMA,"decimal(18,2)",NO,,,
FBS_CAJAS.BOVEDA,EXISTENCIAMAXIMA,"decimal(18,2)",NO,,,
FBS_CAJAS.BOVEDA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAJAS.BOVEDACOMPDENOMNEFE_SERIES,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAJAS.BOVEDACOMPDENOMNEFE_SERIES,SECBOVEDACOMPDENOMNEFE,int,NO,MUL,,
FBS_CAJAS.BOVEDACOMPDENOMNEFE_SERIES,SECREGISTRODEPOSITANTEDENOM,int,NO,MUL,,
FBS_CAJAS.BOVEDACOMPDENOMNEFE_SERIES,SERIE,varchar(50),NO,,,
FBS_CAJAS.BOVEDACOMPDENOMNEFE_SERIES,NUMEROVERIFICADOR,int,NO,,,
FBS_CAJAS.BOVEDACOMPDENOMNEFE_SERIES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAJAS.BOVEDACOMPONENTEDENOMEFE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAJAS.BOVEDACOMPONENTEDENOMEFE,SECUENCIALBOVEDACOMPBOVEDA,int,NO,MUL,,
FBS_CAJAS.BOVEDACOMPONENTEDENOMEFE,DENOMINACION,"decimal(18,2)",NO,,,
FBS_CAJAS.BOVEDACOMPONENTEDENOMEFE,CANTIDAD,int,NO,,,
FBS_CAJAS.BOVEDACOMPONENTEDENOMEFE,ESMONEDA,tinyint unsigned,NO,,,
FBS_CAJAS.BOVEDACOMPONENTEDENOMEFE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAJAS.BOVEDACOMPONENTE_BOVEDA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAJAS.BOVEDACOMPONENTE_BOVEDA,SECUENCIALBOVEDA,int,NO,MUL,,
