Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO,SECUENCIALCOMPONENTE,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO,SECUENCIALTIPOCOMPONENTEPLAZO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,SECUENCIALCOMPONENTEPLAZO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,MONTOINICIAL,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,MONTOFINAL,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,PLAZOINICIAL,int,NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,PLAZOFINAL,int,NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,CODIGOUSUARIOACTIVA,varchar(25),NO,MUL,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,FECHAMAQUINAACTIVACION,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,TASAINTERES,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,FECHASISTEMAACTIVACION,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,SECUENCIALOFICINA,int,NO,MUL,1,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASAAPROB,SECUENCIALCOMPPLAZOTASA,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASAAPROB,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASAAPROB,FECHASISTEMA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASAAPROB,FECHAMAQUINA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZOTASAAPROB,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_CAPITAL,SECUENCIALCOMPONENTEPLAZO,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_CAPITAL,SETEMPORIZA,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_CAPITAL,CALCULAINTERES,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_CAPITAL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES,SECUENCIALCOMPONENTEPLAZO,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES,ESDEPAGO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES,SECUENCIALCUENTACONTABLEGASTO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_ACRED,SECUENCIALCOMPONENTEPLAINTERES,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_ACRED,SECUENCIALCOMPPLAINTERESACRED,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_ACRED,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_ACRED,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_ACRED,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_RET,SECUENCIALCOMPONENTEPLAINTERES,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_RET,PORCENTAJERETENCION,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_RET,SECUENCIALCUENTACONTABLE,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_RET,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_RET,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_RET,PORCENTAJERETENCIONIFIS,"decimal(18,2)",NO,,0.00,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_RET,SECUENCIALCUENTACONTABLERENTIFIS,int,NO,MUL,0,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_RET,PORCENTAJERETENCIONEXTRANJERA,"decimal(18,2)",NO,,0.00,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_RET,SECUENCIALCUENTACONTABLERENTEXTRJ,int,YES,MUL,,
FBS_CAPTACIONESPLAZO.COMPONENTE_PLAZO_INTERES_RET,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.COMP_PLAZO_TASACASTIGO_COMPVISTA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.COMP_PLAZO_TASACASTIGO_COMPVISTA,SECUENCIALCOMPONENTEPLAZO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.COMP_PLAZO_TASACASTIGO_COMPVISTA,SECUENCIALCOMPONENTEVISTA,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.COMP_PLAZO_TASACASTIGO_COMPVISTA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.COMP_PLAZO_TASACASTIGO_COMPVISTA,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.COMP_PLAZO_TASACASTIGO_COMPVISTA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.CONDICIONCREDITOAPROBADO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.CONDICIONCREDITOAPROBADO,PLAZOINICIAL,int,NO,,,
FBS_CAPTACIONESPLAZO.CONDICIONCREDITOAPROBADO,PLAZOFINAL,int,NO,,,
FBS_CAPTACIONESPLAZO.CONDICIONCREDITOAPROBADO,PORCENTAJEAPROBADO,"decimal(9,2)",NO,,,
FBS_CAPTACIONESPLAZO.CONDICIONCREDITOAPROBADO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,SECUENCIALDEPOSITO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,BENEFICIARIO,char(100),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,PARENTESCO,char(50),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,DIRECCION,char(100),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,TELEFONO,char(20),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,ESCONJUNTO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,IDENTIFICACIONBENEFICIARIO,varchar(20),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,PORCENTAJE,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,CODIGOTIPOTELEFONO,char(1),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOBENEFICIARIO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOCHEQUEAPERTURA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.DEPOSITOCHEQUEAPERTURA,SECUENCIALDEPOSITO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCHEQUEAPERTURA,SECUENCIALCHEQUE,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCHEQUEAPERTURA,PROCESADO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCHEQUEAPERTURA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE,SECUENCIALDEPOSITO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE,SECUENCIALCLIENTE,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE,ESPRINCIPAL,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE,ESCONJUNTO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE_TRANSFERENCIA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE_TRANSFERENCIA,SECUENCIALDEPOSITOCLIORIGEN,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE_TRANSFERENCIA,SECUENCIALDEPOSITOCLIDESTINO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE_TRANSFERENCIA,FECHASISTEMA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE_TRANSFERENCIA,FECHAMAQUINA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE_TRANSFERENCIA,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCLIENTE_TRANSFERENCIA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOCOMPONENTE_PLAZO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.DEPOSITOCOMPONENTE_PLAZO,SECUENCIALDEPOSITO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMPONENTE_PLAZO,SECUENCIALCOMPONENTEPLAZO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMPONENTE_PLAZO,CODIGOTIPOCANCELACION,char(1),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMPONENTE_PLAZO,SALDO,"decimal(18,6)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMPONENTE_PLAZO,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMPONENTE_PLAZO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_CTAACREDITA,SECUENCIALDEPOSITOCOMPPLAZO,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_CTAACREDITA,SECUENCIALCUENTAMAESTRO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_CTAACREDITA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_CTAACREDITA,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_CTAACREDITA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_RANGOTEMPZ,SECUENCIALDEPOSITOCOMPLAZO,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_RANGOTEMPZ,SECUENCIALRANGOTEMPORIZACION,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_RANGOTEMPZ,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_RANGOTEMPZ,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,SECUENCIALDEPOSITOCOMPPLAZO,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,NOMBREBENEFICIARIO,varchar(250),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,IDENTIFICACIONBENEFICIARIO,varchar(20),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,CODIGOTIPOCUENTATRANSFERENCIA,varchar(3),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,SECUENCIALINSTITUCIONTRANSFER,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,CODIGOCONCEPTOTRANSFERENCIA,varchar(5),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,SECUENCIALOFICINAINGRESO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,CODIGOUSUARIOINGRESO,varchar(25),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,FECHASISTEMA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,NUMEROCUENTABENEFICIARIO,varchar(40),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,SECUENCIALMONEDA,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,VALOR,"decimal(18,2)",NO,,0.00,
FBS_CAPTACIONESPLAZO.DEPOSITOCOMP_PLAZO_TRANSFERINT,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITODOCUMENTOFISICO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.DEPOSITODOCUMENTOFISICO,SECUENCIALDEPOSITO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITODOCUMENTOFISICO,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITODOCUMENTOFISICO,FECHASISTEMA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITODOCUMENTOFISICO,FECHAMAQUINA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITODOCUMENTOFISICO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITODOCUMENTOFISICO,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITODOCUMENTOFISICO,DOCUMENTOFISICO,varchar(20),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITODOCUMENTOFISICO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOHISTORICOTITULARES,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.DEPOSITOHISTORICOTITULARES,SECUENCIALDEPOSITOMAESTRO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOHISTORICOTITULARES,SECUENCIALCLIENTEANTERIOR,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOHISTORICOTITULARES,SECUENCIALCLIENTENUEVO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOHISTORICOTITULARES,FECHASISTEMA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOHISTORICOTITULARES,FECHAMAQUINA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOHISTORICOTITULARES,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOHISTORICOTITULARES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,CODIGO,varchar(20),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,CODIGOTIPODEPOSITO,char(10),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,CODIGOPRODUCTOPLAZO,char(20),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,MONTO,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,TASA,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,VARIACIONTASA,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,PLAZOENDIAS,int,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,PAGOPERIODICOINTERES,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,FECHACREACION,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,FECHAVENCIMIENTO,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,CODIGOESTADODEPOSITO,char(1),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,SECUENCIALMONEDA,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,SECUENCIALOFICINA,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,FECHAMAQUINACREACION,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,SECUENCIALEMPRESA,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,FECHACORTE,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,CODIGOUSUARIOCAPTADOR,varchar(25),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,BASECALCULO,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,ESGARANTIA,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,SECUENCIALCLIENTEPRINCIPAL,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,ESTACONTABILIZADOCUENTASORDEN,tinyint unsigned,NO,,0,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,CODIGOORIGINAL,varchar(20),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,MONTOORIGINAL,"decimal(18,2)",NO,,0.00,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,SECMIGRA,int,YES,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO_CONTABPRESTAMO,SECUENCIALDEPOSITO,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO_CONTABPRESTAMO,CONTABILIZADO,tinyint unsigned,NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITOMAESTRO_CONTABPRESTAMO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITORETENCION,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESPLAZO.DEPOSITORETENCION,SECUENCIALDEPOSITO,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITORETENCION,FECHAEMISION,datetime(3),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITORETENCION,BASEIMPONIBLE,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITORETENCION,MONTORENDIMIENTO,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITORETENCION,PORCENTAJERENDIMIENTO,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITORETENCION,VALORRETENIDO,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITORETENCION,FECHACIERRE,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITORETENCION,SECMIGRA,int,YES,,,
FBS_CAPTACIONESPLAZO.DEPOSITORETENCION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITO_ACTIVACION,SECUENCIALDEPOSITO,int,NO,PRI,,
