Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CAPTACIONESVISTA.ACREDITACIONCUENTAENLOTESINPROCESAR,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAPTACIONESVISTA.ACREDITACIONCUENTAENLOTESINPROCESAR,SECUENCIALCUENTA,int,NO,MUL,,
FBS_CAPTACIONESVISTA.ACREDITACIONCUENTAENLOTESINPROCESAR,SECUENCIALCAUSAL,int,NO,MUL,,
FBS_CAPTACIONESVISTA.ACREDITACIONCUENTAENLOTESINPROCESAR,VALOR,"decimal(18,6)",NO,,,
FBS_CAPTACIONESVISTA.ACREDITACIONCUENTAENLOTESINPROCESAR,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CAPTACIONESVISTA.ACREDITACIONCUENTAENLOTESINPROCESAR,FECHASISTEMA,datetime(3),NO,,,
FBS_CAPTACIONESVISTA.ACREDITACIONCUENTAENLOTESINPROCESAR,FECHAMAQUINA,datetime(3),NO,,,
FBS_CAPTACIONESVISTA.ACREDITACIONCUENTAENLOTESINPROCESAR,CONCURRENCIA,timestamp(6),YES,,,
FBS_CAPTACIONESVISTA.ACTIVACIONCUENTA,SECUENCIALHISTORICOCTAESTADO,int,NO,PRI,,
FBS_CAPTACIONESVISTA.ACTIVACIONCUENTA,SALDO,"decimal(18,2)",NO,,,
FBS_CAPTACIONESVISTA.ACTIVACIONCUENTA,SECUENCIALOFICINA,int,NO,MUL,,
FBS_CAPTACIONESVISTA.ACTIVACIONCUENTA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESVISTA.AUTORIZADORMEGARED,CODIGO,varchar(10),NO,PRI,,
FBS_CAPTACIONESVISTA.AUTORIZADORMEGARED,NOMBRE,varchar(100),NO,,,
FBS_CAPTACIONESVISTA.AUTORIZADORMEGARED,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAPTACIONESVISTA.AUTORIZADORMEGARED,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESVISTA.AUTORIZADORMEGARED,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESVISTA.CAJEROMULTISERVICE,CODIGO,varchar(8),NO,PRI,,
FBS_CAPTACIONESVISTA.CAJEROMULTISERVICE,CODIGOUSUARIOAFECTA,varchar(25),NO,MUL,,
FBS_CAPTACIONESVISTA.CAJEROMULTISERVICE,ESTAACTIVO,tinyint unsigned,NO,,,
