Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CARTERADIGITAL.CONCILIACIONPAGO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERADIGITAL.CONCILIACIONPAGO,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CARTERADIGITAL.CONCILIACIONPAGO,VALORRECIBIDO,"decimal(10,2)",NO,,,
FBS_CARTERADIGITAL.CONCILIACIONPAGO,VALORPAGOCARTERADIGITAL,"decimal(10,2)",NO,,,
FBS_CARTERADIGITAL.CONCILIACIONPAGO,DOCUMENTO,varchar(36),NO,,,
FBS_CARTERADIGITAL.CONCILIACIONPAGO,SECUENCIALORDEN,int,NO,MUL,,
FBS_CARTERADIGITAL.CONCILIACIONPAGO,FECHASISTEMA,datetime(3),NO,,,
FBS_CARTERADIGITAL.CONCILIACIONPAGO,FECHAMAQUINA,datetime(3),NO,,,
FBS_CARTERADIGITAL.CONCILIACIONPAGO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERADIGITAL.CONCILIACIONPAGODETALLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERADIGITAL.CONCILIACIONPAGODETALLE,SECUENCIALCONCILIACIONPAGO,int,NO,MUL,,
FBS_CARTERADIGITAL.CONCILIACIONPAGODETALLE,SECHISTRANSACCIONCARTERADIGITAL,int,NO,MUL,,
FBS_CARTERADIGITAL.CONCILIACIONPAGODETALLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERADIGITAL.EMPRESA_PARAMETROCARTERADIGITAL,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_CARTERADIGITAL.EMPRESA_PARAMETROCARTERADIGITAL,PERMITEINTEGRACIONRECUPERACION,tinyint,NO,,,
FBS_CARTERADIGITAL.EMPRESA_PARAMETROCARTERADIGITAL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERADIGITAL.HISTORICOINTEGRACION,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERADIGITAL.HISTORICOINTEGRACION,FECHAEJECUCION,datetime(3),NO,,,
FBS_CARTERADIGITAL.HISTORICOINTEGRACION,TIEMPOEJECUCION,bigint,NO,,,
FBS_CARTERADIGITAL.HISTORICOINTEGRACION,MENSAJE,varchar(255),NO,,,
FBS_CARTERADIGITAL.HISTORICOINTEGRACION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,IDTRANSACCION,varchar(36),NO,UNI,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,SECUENCIALOFICINAUSUARIO,int,NO,MUL,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,NUMEROCLIENTE,int,NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,IDENTIFICACIONCLIENTE,varchar(25),NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,NOMBRECLIENTE,varchar(100),NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,TIPOPRODUCTO,int,NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,NUMEROPRODUCTO,varchar(50),NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,MONTOTRANSACCION,"decimal(10,2)",NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,FECHATRANSACCION,datetime,NO,MUL,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,ESPAGOENLOTE,tinyint(1),NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,DOCUMENTO,varchar(36),NO,MUL,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,MENSAJERESULTADO,varchar(100),NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,ESTADO,int,NO,MUL,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,ESTACUADRADO,tinyint,NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,FECHASISTEMA,datetime(3),NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,FECHAMAQUINA,datetime(3),NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL_CAUSAL,SECHISTRANSACCIONCARTERADIGITAL,int,NO,PRI,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL_CAUSAL,SECUENCIALCOMPONENTECAUSAL,int,NO,MUL,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL_CAUSAL,SECUENCIALAUXILIARCONTABLE,int,NO,,,
FBS_CARTERADIGITAL.HISTORICOTRANSACCIONCARTERADIGITAL_CAUSAL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTE,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTE,IDTRANSACCIONENLOTE,varchar(36),NO,UNI,,
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTE,NOMBREARCHIVO,varchar(100),NO,UNI,,
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTE,FECHATRANSACCION,datetime(3),NO,MUL,,
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTE,ESTADO,int,NO,MUL,,
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTE,FECHASISTEMA,datetime(3),NO,,,
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTE,FECHAMAQUINA,datetime(3),NO,,,
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTEDETALLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERADIGITAL.REGISTROTRANSACCIONENLOTEDETALLE,SECUENCIALREGISTROTRANSACCIONENLOTE,int,NO,MUL,,
