Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CARTERA.ABONOPRESTAMOENLOTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERA.ABONOPRESTAMOENLOTE,SECUENCIALPRESTAMO,int,NO,MUL,,
FBS_CARTERA.ABONOPRESTAMOENLOTE,VALOR,"decimal(18,2)",NO,,,
FBS_CARTERA.ABONOPRESTAMOENLOTE,NUMERODOCUMENTO,varchar(100),NO,,,
FBS_CARTERA.ABONOPRESTAMOENLOTE,SECUENCIALCAUSALABONO,int,NO,MUL,,
FBS_CARTERA.ABONOPRESTAMOENLOTE,CODIGOUSUARIOINGRESO,varchar(25),NO,MUL,,
FBS_CARTERA.ABONOPRESTAMOENLOTE,FECHASISTEMA,datetime(3),NO,,,
FBS_CARTERA.ABONOPRESTAMOENLOTE,FECHAMAQUINA,datetime(3),NO,,,
FBS_CARTERA.ABONOPRESTAMOENLOTE,ESTAPROCESADO,tinyint unsigned,NO,,,
FBS_CARTERA.ABONOPRESTAMOENLOTE,DETALLE,varchar(255),NO,,,
FBS_CARTERA.ABONOPRESTAMOENLOTE,SECUENCIALARCHIVOABONOPRESTAMOENLOTE,int,NO,MUL,0,
FBS_CARTERA.ABONOPRESTAMOENLOTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERA.ABONOPRESTAMOENLOTESINPROCESAR,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERA.ABONOPRESTAMOENLOTESINPROCESAR,SECUENCIALPRESTAMO,int,NO,MUL,,
FBS_CARTERA.ABONOPRESTAMOENLOTESINPROCESAR,SECUENCIALCAUSAL,int,NO,MUL,,
FBS_CARTERA.ABONOPRESTAMOENLOTESINPROCESAR,VALOR,"decimal(18,6)",NO,,,
FBS_CARTERA.ABONOPRESTAMOENLOTESINPROCESAR,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CARTERA.ABONOPRESTAMOENLOTESINPROCESAR,FECHASISTEMA,datetime(3),NO,,,
FBS_CARTERA.ABONOPRESTAMOENLOTESINPROCESAR,FECHAMAQUINA,datetime(3),NO,,,
FBS_CARTERA.ABONOPRESTAMOENLOTESINPROCESAR,CONCURRENCIA,timestamp(6),YES,,,
FBS_CARTERA.ARCHIVOABONOPRESTAMOENLOTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERA.ARCHIVOABONOPRESTAMOENLOTE,NOMBREARCHIVO,varchar(200),NO,UNI,,
FBS_CARTERA.ARCHIVOABONOPRESTAMOENLOTE,FECHASISTEMAINGRESO,datetime(3),NO,,,
FBS_CARTERA.ARCHIVOABONOPRESTAMOENLOTE,FECHAMAQUINAINGRESO,datetime(3),NO,,,
FBS_CARTERA.ARCHIVOABONOPRESTAMOENLOTE,ESTAPROCESADO,tinyint unsigned,NO,,,
FBS_CARTERA.ARCHIVOABONOPRESTAMOENLOTE,NUMEROVERIFICADOR,int,NO,,,
FBS_CARTERA.ARCHIVOABONOPRESTAMOENLOTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERA.ARCHIVOREPROGRAMACION,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERA.ARCHIVOREPROGRAMACION,NOMBREARCHIVO,varchar(100),NO,,,
FBS_CARTERA.ARCHIVOREPROGRAMACION,FECHASISTEMAINGRESO,datetime(3),NO,,,
FBS_CARTERA.ARCHIVOREPROGRAMACION,FECHAMAQUINAINGRESO,datetime(3),NO,,,
FBS_CARTERA.ARCHIVOREPROGRAMACION,ESTAPROCESADO,tinyint unsigned,NO,,,
FBS_CARTERA.ARCHIVOREPROGRAMACION,NUMEROVERIFICADOR,int,NO,,,
FBS_CARTERA.ARCHIVOREPROGRAMACION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERA.ARCHIVOREPROGRAMACIONDETALLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERA.ARCHIVOREPROGRAMACIONDETALLE,SECUENCIALARCHIVOREPROGRAMACION,int,NO,MUL,,
FBS_CARTERA.ARCHIVOREPROGRAMACIONDETALLE,NUMEROPAGARE,varchar(20),NO,,,
FBS_CARTERA.ARCHIVOREPROGRAMACIONDETALLE,FECHAPRIMERACUOTA,datetime(3),NO,,,
FBS_CARTERA.ARCHIVOREPROGRAMACIONDETALLE,NUEVONUMEROCUOTAS,int,NO,,,
FBS_CARTERA.ARCHIVOREPROGRAMACIONDETALLE,ESTAPROCESADO,tinyint unsigned,NO,,,
FBS_CARTERA.ARCHIVOREPROGRAMACIONDETALLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CARTERA.CALCULOUTILIDADPRESTAMO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CARTERA.CALCULOUTILIDADPRESTAMO,SECUENCIALPRESTAMO,int,NO,MUL,,
FBS_CARTERA.CALCULOUTILIDADPRESTAMO,SECPARAMCALCULOUTILIDADPREST,int,NO,MUL,,
FBS_CARTERA.CALCULOUTILIDADPRESTAMO,VALORCALCULADO,"decimal(18,2)",NO,,,
