Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CAUSALES.COMPCAUSALOFICINAIMPUESTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAUSALES.COMPCAUSALOFICINAIMPUESTO,SECUENCIALCOMPCAUSALFACTURABLE,int,NO,MUL,,
FBS_CAUSALES.COMPCAUSALOFICINAIMPUESTO,SECUENCIALOFICINA,int,NO,MUL,,
FBS_CAUSALES.COMPCAUSALOFICINAIMPUESTO,SECUENCIALCOMPCAUSALIMPUESTO,int,NO,MUL,,
FBS_CAUSALES.COMPCAUSALOFICINAIMPUESTO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAUSALES.COMPCAUSALOFICINAIMPUESTO,NUMEROVERIFICADOR,int,NO,,,
FBS_CAUSALES.COMPCAUSALOFICINAIMPUESTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAUSALES.COMPONENTECAUSAL_CAUSALIVA,SECUENCIALCOMPONENTE,int,NO,PRI,,
FBS_CAUSALES.COMPONENTECAUSAL_CAUSALIVA,SECUENCIALCOMPCAUCOBRAIVA,int,NO,MUL,,
FBS_CAUSALES.COMPONENTECAUSAL_CAUSALIVA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAUSALES.COMPONENTECAUSAL_IMPUESTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAUSALES.COMPONENTECAUSAL_IMPUESTO,SECUENCIALMONEDA,int,NO,MUL,,
FBS_CAUSALES.COMPONENTECAUSAL_IMPUESTO,SECUENCIALCOMPONENTECAUSAL,int,NO,MUL,,
FBS_CAUSALES.COMPONENTECAUSAL_IMPUESTO,SECUENCIALAUXILIARCOMPONENTECAUSAL,int,NO,,,
FBS_CAUSALES.COMPONENTECAUSAL_IMPUESTO,CODIGOPORCENTAJEIMPUESTO,varchar(5),NO,MUL,,
FBS_CAUSALES.COMPONENTECAUSAL_IMPUESTO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAUSALES.COMPONENTECAUSAL_IMPUESTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAUSALES.COMPONENTE_CAUSAL,SECUENCIALCOMPONENTE,int,NO,PRI,,
FBS_CAUSALES.COMPONENTE_CAUSAL,CODIGOCAUSAL,varchar(20),NO,,,
FBS_CAUSALES.COMPONENTE_CAUSAL,ESFACTURABLE,tinyint unsigned,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSAL,PRIORIDADACCESO,int,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSAL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAUSALES.COMPONENTE_CAUSALOFICINA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAUSALES.COMPONENTE_CAUSALOFICINA,SECUENCIALCOMPONENTECAUSAL,int,NO,MUL,,
FBS_CAUSALES.COMPONENTE_CAUSALOFICINA,SECUENCIALOFICINA,int,NO,MUL,,
FBS_CAUSALES.COMPONENTE_CAUSALOFICINA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSALOFICINA,NUMEROVERIFICADOR,int,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSALOFICINA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAUSALES.COMPONENTE_CAUSALROL,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAUSALES.COMPONENTE_CAUSALROL,SECUENCIALCOMPONENTECAUSAL,int,NO,MUL,,
FBS_CAUSALES.COMPONENTE_CAUSALROL,CODIGOROL,varchar(20),NO,MUL,,
FBS_CAUSALES.COMPONENTE_CAUSALROL,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSALROL,NUMEROVERIFICADOR,int,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSALROL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAUSALES.COMPONENTE_CAUSALTIPOPRODUCTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAUSALES.COMPONENTE_CAUSALTIPOPRODUCTO,SECUENCIALCOMPONENTECAUSAL,int,NO,MUL,,
FBS_CAUSALES.COMPONENTE_CAUSALTIPOPRODUCTO,CODIGOTIPOPRODUCTO,varchar(30),NO,MUL,,
FBS_CAUSALES.COMPONENTE_CAUSALTIPOPRODUCTO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSALTIPOPRODUCTO,NUMEROVERIFICADOR,int,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSALTIPOPRODUCTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAUSALES.COMPONENTE_CAUSAL_CAJAS,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CAUSALES.COMPONENTE_CAUSAL_CAJAS,SECUENCIALMONEDA,int,NO,MUL,,
FBS_CAUSALES.COMPONENTE_CAUSAL_CAJAS,SECUENCIALCOMPONENTECAUSAL,int,NO,MUL,,
FBS_CAUSALES.COMPONENTE_CAUSAL_CAJAS,SECUENCIALAUXILIARCOMPONENTECAUSAL,int,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSAL_CAJAS,ESPARASOBRANTE,tinyint unsigned,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSAL_CAJAS,ESPARAFALTANTE,tinyint unsigned,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSAL_CAJAS,ESPARATRANSFENTREBOVEDAS,tinyint unsigned,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSAL_CAJAS,ESPARATRANSFENTRECAJAS,tinyint unsigned,NO,,,
FBS_CAUSALES.COMPONENTE_CAUSAL_CAJAS,NUMEROVERIFICADOR,int,NO,,,
