Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CIERRESFINANCIEROS.CALENDARIO_FINDIA,SECUENCIALCALENDARIO,int,NO,PRI,,
FBS_CIERRESFINANCIEROS.CALENDARIO_FINDIA,NUMEROCLIENTES,int,NO,,,
FBS_CIERRESFINANCIEROS.CALENDARIO_FINDIA,NUMEROCLIENTESPROCESADOS,int,NO,,,
FBS_CIERRESFINANCIEROS.CALENDARIO_FINDIA,NUMEROVERIFICADOR,int,NO,,,
FBS_CIERRESFINANCIEROS.CALENDARIO_FINDIA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CIERRESFINANCIEROS.CLIENTE_FECHAPROCESO,SECUENCIALCLIENTE,int,NO,PRI,,
FBS_CIERRESFINANCIEROS.CLIENTE_FECHAPROCESO,SECUENCIALCALENDARIOFINDIA,int,NO,MUL,,
FBS_CIERRESFINANCIEROS.CLIENTE_FECHAPROCESO,NUMEROVERIFICADOR,int,NO,,,
FBS_CIERRESFINANCIEROS.CLIENTE_FECHAPROCESO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CIERRESFINANCIEROS.CORREONOTIFICACION,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CIERRESFINANCIEROS.CORREONOTIFICACION,CORREO,varchar(255),NO,,,
FBS_CIERRESFINANCIEROS.CORREONOTIFICACION,NOMBREPERSONA,varchar(255),NO,,,
FBS_CIERRESFINANCIEROS.CORREONOTIFICACION,ESTAACTIVO,varchar(255),NO,,,
FBS_CIERRESFINANCIEROS.CORREONOTIFICACION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CIERRESFINANCIEROS.FECHACIERREETAPA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CIERRESFINANCIEROS.FECHACIERREETAPA,FECHA,datetime(3),NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPA,FECHAHORAINICIO,datetime(3),NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPA,FECHAHORAFIN,datetime(3),NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPA,TIEMPOTOTALEJECUCION,"decimal(18,2)",NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPA,ESTAFINALIZADO,tinyint(1),NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CIERRESFINANCIEROS.FECHACIERREETAPADETALLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CIERRESFINANCIEROS.FECHACIERREETAPADETALLE,SECUENCIALFECHACIERREETAPA,int,NO,MUL,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPADETALLE,ORDEN,int,NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPADETALLE,NOMBREPROCESO,varchar(500),NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPADETALLE,TIEMPOEJECUCIONPROCESO,"decimal(18,2)",NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPADETALLE,FECHAINICIOCALCULO,datetime(3),NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPADETALLE,FECHAFINCALCULO,datetime(3),NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPADETALLE,ESTAFINALIZADO,tinyint(1),NO,,,
FBS_CIERRESFINANCIEROS.FECHACIERREETAPADETALLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CIERRESFINANCIEROS.PARAMETROPROCESOCIERRE,ID,int,NO,PRI,,auto_increment
FBS_CIERRESFINANCIEROS.PARAMETROPROCESOCIERRE,EJECUCIONAUTOMATICA,tinyint(1),NO,,,
FBS_CIERRESFINANCIEROS.PARAMETROPROCESOCIERRE,FECHAEJECUCION,datetime(6),NO,,,
FBS_CIERRESFINANCIEROS.PARAMETROPROCESOCIERRE,CONTROLAFECHAMAQUINA,tinyint,NO,,,
FBS_CIERRESFINANCIEROS.PARAMETROPROCESOCIERRE,EJECUTADOMINGO,tinyint(1),NO,,,
FBS_CIERRESFINANCIEROS.PARAMETROPROCESOCIERRE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CIERRESFINANCIEROS.PROCESOCIERRE,ID,int,NO,PRI,,auto_increment
FBS_CIERRESFINANCIEROS.PROCESOCIERRE,ORDEN,int,NO,,,
FBS_CIERRESFINANCIEROS.PROCESOCIERRE,PROCESO,varchar(500),NO,,,
FBS_CIERRESFINANCIEROS.PROCESOCIERRE,NOMBREPROCESO,varchar(500),NO,UNI,,
FBS_CIERRESFINANCIEROS.PROCESOCIERRE,TIPOPROCESO,int,NO,,,
FBS_CIERRESFINANCIEROS.PROCESOCIERRE,EJECUTADIAPORDIA,tinyint unsigned,NO,,,
FBS_CIERRESFINANCIEROS.PROCESOCIERRE,ESTAACTIVO,tinyint(1),NO,,,
FBS_CIERRESFINANCIEROS.PROCESOCIERRE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CIERRESFINANCIEROS.PROCESOCIERRE,ENVIANOTIFICACION,tinyint unsigned,NO,,,
