Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CLIENTES.ANEXOPEPS,SECUENCIALCLIENTE,int,NO,PRI,,
FBS_CLIENTES.ANEXOPEPS,CARGOPUBLICO,tinyint unsigned,NO,,,
FBS_CLIENTES.ANEXOPEPS,CARGO,varchar(100),NO,,,
FBS_CLIENTES.ANEXOPEPS,FECHAINICIO,datetime(3),NO,,,
FBS_CLIENTES.ANEXOPEPS,FECHAFIN,datetime(3),NO,,,
FBS_CLIENTES.ANEXOPEPS,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CLIENTES.ANEXOPEPS,NUMEROVERIFICADOR,int,NO,,,
FBS_CLIENTES.ANEXOPEPS,TIENEFECHAFIN,tinyint unsigned,NO,,,
FBS_CLIENTES.ANEXOPEPS,ORGANISMOPUBLICO,varchar(250),NO,,,
FBS_CLIENTES.ANEXOPEPS,CODIGOTIPOPEPS,varchar(2),NO,MUL,,
FBS_CLIENTES.ANEXOPEPS,CODIGOCARGOPEPS,varchar(2),NO,MUL,,
FBS_CLIENTES.ANEXOPEPS,NOMBREREEMPLAZO,varchar(150),NO,,,
FBS_CLIENTES.ANEXOPEPS,CARGOREEMPLAZO,varchar(100),NO,,,
FBS_CLIENTES.ANEXOPEPS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CLIENTES.CAMPANIA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CLIENTES.CAMPANIA,FECHAINICIO,datetime(3),NO,,,
FBS_CLIENTES.CAMPANIA,FECHAFIN,datetime(3),NO,,,
FBS_CLIENTES.CAMPANIA,CARACTERISTICAS,varchar(300),NO,,,
FBS_CLIENTES.CAMPANIA,META,varchar(300),NO,,,
FBS_CLIENTES.CAMPANIA,PRESUPUESTO,"decimal(18,2)",NO,,,
FBS_CLIENTES.CAMPANIA,ESPARAPAGINAWEB,tinyint unsigned,NO,,,
FBS_CLIENTES.CAMPANIA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CLIENTES.CAMPANIA,NUMEROVERIFICADOR,int,NO,,,
FBS_CLIENTES.CAMPANIA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CLIENTES.CAMPANIACODIGOPRODUCTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CLIENTES.CAMPANIACODIGOPRODUCTO,SECUENCIALCAMPANIA,int,NO,MUL,,
FBS_CLIENTES.CAMPANIACODIGOPRODUCTO,CODIGOTIPOPRODUCTO,varchar(30),NO,MUL,,
FBS_CLIENTES.CAMPANIACODIGOPRODUCTO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CLIENTES.CAMPANIACODIGOPRODUCTO,NUMEROVERIFICADOR,int,NO,,,
FBS_CLIENTES.CAMPANIACODIGOPRODUCTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CLIENTES.CAMPANIASOCIO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CLIENTES.CAMPANIASOCIO,SECUENCIALCAMPANIA,int,NO,MUL,,
FBS_CLIENTES.CAMPANIASOCIO,SECUENCIALCLIENTE,int,NO,MUL,,
FBS_CLIENTES.CAMPANIASOCIO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CLIENTES.CAMPANIASOCIO,NUMEROVERIFICADOR,int,NO,,,
FBS_CLIENTES.CAMPANIASOCIO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CLIENTES.CARGOPEPS,CODIGO,varchar(2),NO,PRI,,
FBS_CLIENTES.CARGOPEPS,NOMBRE,varchar(250),NO,,,
FBS_CLIENTES.CARGOPEPS,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CLIENTES.CARGOPEPS,NUMEROVERIFICADOR,int,NO,,,
FBS_CLIENTES.CARGOPEPS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
