Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_COBRANZAS.ABOGADO,CODIGO,varchar(20),NO,PRI,,
FBS_COBRANZAS.ABOGADO,NOMBRE,varchar(500),NO,,,
FBS_COBRANZAS.ABOGADO,SECUENCIALEMPRESA,int,NO,MUL,,
FBS_COBRANZAS.ABOGADO,PORCENTAJECOBROJUDICIAL,"decimal(18,2)",NO,,,
FBS_COBRANZAS.ABOGADO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_COBRANZAS.ABOGADO,NUMEROVERIFICADOR,int,NO,,,
FBS_COBRANZAS.ABOGADO,PORCENTAJECOBROPREJUDICIAL,"decimal(18,2)",NO,,,
FBS_COBRANZAS.ABOGADO,ESINTERNO,tinyint unsigned,NO,,,
FBS_COBRANZAS.ABOGADO,EMAIL,varchar(70),NO,,,
FBS_COBRANZAS.ABOGADO,GENERAITBIS,tinyint unsigned,NO,,0,
FBS_COBRANZAS.ABOGADO,GENERARETENCION,tinyint unsigned,NO,,0,
FBS_COBRANZAS.ABOGADO,GENERARETENSOBREITBIS,tinyint unsigned,NO,,0,
FBS_COBRANZAS.ABOGADO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_COBRANZAS.ABOGADOOFICINA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_COBRANZAS.ABOGADOOFICINA,CODIGOABOGADO,varchar(20),NO,MUL,,
FBS_COBRANZAS.ABOGADOOFICINA,SECUENCIALOFICINA,int,NO,MUL,,
FBS_COBRANZAS.ABOGADOOFICINA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_COBRANZAS.ABOGADOOFICINA,NUMEROVERIFICADOR,int,NO,,,
FBS_COBRANZAS.ABOGADOOFICINA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_COBRANZAS.ABOGADO_AUXILIARCONTABLE,SECUENCIAL,int,NO,PRI,,auto_increment
