Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CONTABILIDADES.ABONOMOVCOMPCTBLECUENTAPORCONCILIAR,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CONTABILIDADES.ABONOMOVCOMPCTBLECUENTAPORCONCILIAR,SECUENCIALMOVCUENTAPORCONCILIAR,int,NO,MUL,,
FBS_CONTABILIDADES.ABONOMOVCOMPCTBLECUENTAPORCONCILIAR,VALOR,"decimal(18,2)",NO,,,
FBS_CONTABILIDADES.ABONOMOVCOMPCTBLECUENTAPORCONCILIAR,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CONTABILIDADES.ABONOMOVCOMPCTBLECUENTAPORCONCILIAR,FECHASISTEMA,datetime(3),NO,,,
FBS_CONTABILIDADES.ABONOMOVCOMPCTBLECUENTAPORCONCILIAR,FECHAMAQUINA,datetime(3),NO,,,
FBS_CONTABILIDADES.ABONOMOVCOMPCTBLECUENTAPORCONCILIAR,NUMEROVERIFICADOR,int,NO,,,
FBS_CONTABILIDADES.ABONOMOVCOMPCTBLECUENTAPORCONCILIAR,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CONTABILIDADES.ACTIVODIFERIDO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CONTABILIDADES.ACTIVODIFERIDO,NOMBRE,varchar(250),NO,,,
FBS_CONTABILIDADES.ACTIVODIFERIDO,SECCUENTACBLECOMPRA,int,NO,MUL,,
FBS_CONTABILIDADES.ACTIVODIFERIDO,OBSERVACION,varchar(250),NO,,,
FBS_CONTABILIDADES.ACTIVODIFERIDO,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_CONTABILIDADES.ACTIVODIFERIDO,NUMEROVERIFICADOR,int,NO,,,
FBS_CONTABILIDADES.ACTIVODIFERIDO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CONTABILIDADES.ACTIVODIFERIDO_AUXCTBLECOMPRA,SECUENCIALACTIVODIFERIDO,int,NO,PRI,,
FBS_CONTABILIDADES.ACTIVODIFERIDO_AUXCTBLECOMPRA,SECUENCIALAUXILIARCONTABLE,int,NO,MUL,,
FBS_CONTABILIDADES.ACTIVODIFERIDO_AUXCTBLECOMPRA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CONTABILIDADES.ACTIVODIFERIDO_AUXCTBLEORDACRE,SECUENCIALACTIVODIFERIDO,int,NO,PRI,,
FBS_CONTABILIDADES.ACTIVODIFERIDO_AUXCTBLEORDACRE,SECUENCIALAUXILIARCONTABLE,int,NO,MUL,,
FBS_CONTABILIDADES.ACTIVODIFERIDO_AUXCTBLEORDACRE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CONTABILIDADES.ACTIVODIFERIDO_AUXCTBLEORDDEU,SECUENCIALACTIVODIFERIDO,int,NO,PRI,,
FBS_CONTABILIDADES.ACTIVODIFERIDO_AUXCTBLEORDDEU,SECUENCIALAUXILIARCONTABLE,int,NO,MUL,,
FBS_CONTABILIDADES.ACTIVODIFERIDO_AUXCTBLEORDDEU,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CONTABILIDADES.ACTIVODIFERIDO_CUENTASORDEN,SECUENCIALACTIVODIFERIDO,int,NO,PRI,,
FBS_CONTABILIDADES.ACTIVODIFERIDO_CUENTASORDEN,SECCUENTACBLEORDENDEUDORA,int,NO,MUL,,
FBS_CONTABILIDADES.ACTIVODIFERIDO_CUENTASORDEN,SECCUENTACBLEORDENACREEDORA,int,NO,MUL,,
FBS_CONTABILIDADES.ACTIVODIFERIDO_CUENTASORDEN,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
