Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CREDITO.AHORROSOLICITUDTIPOGARANTIA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CREDITO.AHORROSOLICITUDTIPOGARANTIA,SECUENCIALSOLICTIPOGARANTIA,int,NO,MUL,,
FBS_CREDITO.AHORROSOLICITUDTIPOGARANTIA,SECUENCIALCUENTAMAESTRO,int,NO,MUL,,
FBS_CREDITO.AHORROSOLICITUDTIPOGARANTIA,DETALLE,varchar(1000),NO,,,
FBS_CREDITO.AHORROSOLICITUDTIPOGARANTIA,VALOR,"decimal(18,2)",NO,,,
FBS_CREDITO.AHORROSOLICITUDTIPOGARANTIA,CODIGOUSUARIOINGRESO,varchar(25),NO,MUL,,
FBS_CREDITO.AHORROSOLICITUDTIPOGARANTIA,FECHAINGRESO,datetime(3),NO,,,
FBS_CREDITO.AHORROSOLICITUDTIPOGARANTIA,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_CREDITO.AHORROSOLICITUDTIPOGARANTIA,NUMEROVERIFICADOR,int,NO,,,
FBS_CREDITO.AHORROSOLICITUDTIPOGARANTIA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CREDITO.ANEXOSOLICITUD,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CREDITO.ANEXOSOLICITUD,SECUENCIALSOLICITUD,int,NO,MUL,,
FBS_CREDITO.ANEXOSOLICITUD,DESCRIPCION,varchar(1000),NO,,,
FBS_CREDITO.ANEXOSOLICITUD,CODIGOUSUARIOINGRESO,varchar(25),NO,MUL,,
FBS_CREDITO.ANEXOSOLICITUD,FECHAMAQUINAINGRESO,datetime(3),NO,,,
FBS_CREDITO.ANEXOSOLICITUD,FECHASISTEMAINGRESO,datetime(3),NO,,,
FBS_CREDITO.ANEXOSOLICITUD,MONTOAPROBADOANTERIOR,"decimal(18,2)",NO,,,
FBS_CREDITO.ANEXOSOLICITUD,FRECUENCIADEPAGOANTERIOR,int,NO,,,
FBS_CREDITO.ANEXOSOLICITUD,NUMEROCUOTASANTERIOR,int,NO,,,
FBS_CREDITO.ANEXOSOLICITUD,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CREDITO.ANEXOSOLICITUD,NUMEROVERIFICADOR,int,NO,,,
FBS_CREDITO.ANEXOSOLICITUD,CODIGOSUBCALFCONTANTERIOR,varchar(10),NO,MUL,,
FBS_CREDITO.ANEXOSOLICITUD,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CREDITO.APORTEPATRIMONIAL,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CREDITO.APORTEPATRIMONIAL,SECUENCIALCOMPONENTECAUSAL,int,NO,MUL,,
