Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,SECUENCIALCLIENTE,int,NO,MUL,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,SECUENCIALTIPORUBROPORCOBRAR,int,NO,MUL,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,SECUENCIALMONEDA,int,NO,MUL,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,VALORPORCOBRAR,"decimal(9,2)",NO,,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,VALORCOBRADO,"decimal(9,2)",NO,,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,FECHASISTEMA,datetime(3),NO,,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,FECHAMAQUINA,datetime(3),NO,,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,ESTACOBRADO,tinyint unsigned,NO,,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,NUMEROVERIFICADOR,int,NO,,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,SECMIGRA,int,YES,,,
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRAR,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CUENTASPORCOBRAR.CLIENTETIPORUBROPORCOBRARCTACOMPVIS_DEBITA,SECUENCIAL,int,NO,PRI,,auto_increment
