Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CUENTASPORPAGAR.FRECUENCIAPAGORUBRO,CODIGO,char(10),NO,PRI,,
FBS_CUENTASPORPAGAR.FRECUENCIAPAGORUBRO,NOMBRE,varchar(50),NO,,,
FBS_CUENTASPORPAGAR.FRECUENCIAPAGORUBRO,NUMERODIAS,int,NO,,,
FBS_CUENTASPORPAGAR.FRECUENCIAPAGORUBRO,SECUENCIALEMPRESA,int,NO,MUL,,
FBS_CUENTASPORPAGAR.FRECUENCIAPAGORUBRO,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_CUENTASPORPAGAR.FRECUENCIAPAGORUBRO,NUMEROVERIFICADOR,int,NO,,,
FBS_CUENTASPORPAGAR.FRECUENCIAPAGORUBRO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CUENTASPORPAGAR.MOVIMIENTORUBROPORPAGARCUOTA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CUENTASPORPAGAR.MOVIMIENTORUBROPORPAGARCUOTA,SECUENCIALRUBROPORPAGARCUOTA,int,NO,MUL,,
FBS_CUENTASPORPAGAR.MOVIMIENTORUBROPORPAGARCUOTA,DOCUMENTO,varchar(50),NO,MUL,,
FBS_CUENTASPORPAGAR.MOVIMIENTORUBROPORPAGARCUOTA,CODIGOTIPOMOVIMIENTO,varchar(20),NO,,,
FBS_CUENTASPORPAGAR.MOVIMIENTORUBROPORPAGARCUOTA,INFORMACIONCOMPLEMENTARIA,varchar(100),NO,,,
FBS_CUENTASPORPAGAR.MOVIMIENTORUBROPORPAGARCUOTA,VALOR,"decimal(18,2)",NO,,,
FBS_CUENTASPORPAGAR.MOVIMIENTORUBROPORPAGARCUOTA,SALDO,"decimal(18,2)",NO,,,
FBS_CUENTASPORPAGAR.MOVIMIENTORUBROPORPAGARCUOTA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,SECUENCIALPERSONA,int,NO,MUL,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,SECUENCIALCUENTACONTABLEXPAGAR,int,NO,MUL,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,SECUENCIALMONEDA,int,NO,MUL,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,CODIGOFRECUENCIAPAGORUBRO,char(10),NO,MUL,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,NUMEROCUOTAS,int,NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,VALORPORPAGAR,"decimal(18,2)",NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,VALORPAGADO,"decimal(18,2)",NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,ESTAPAGADO,tinyint unsigned,NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,DETALLE,varchar(500),NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,FECHASISTEMA,datetime(3),NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,FECHAMAQUINA,datetime(3),NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,NUMEROVERIFICADOR,int,NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,SECMIGRA,int,YES,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CUENTASPORPAGAR.RUBROPORPAGAR,TASACAMBIARIA,"decimal(18,2)",NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,SECUENCIALRUBROPORPAGAR,int,NO,MUL,,
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,NUMEROCUOTA,int,NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,VALORPAGAR,"decimal(18,2)",NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,VALORPAGADO,"decimal(18,2)",NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,FECHAPAGO,datetime(3),NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,ESTADOCUOTA,varchar(50),NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,FECHASISTEMA,datetime(3),NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,SECMIGRA,int,YES,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGARCUOTA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CUENTASPORPAGAR.RUBROPORPAGAR_AUXILIARCONTABLE,SECUENCIALRUBROPORPAGAR,int,NO,PRI,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR_AUXILIARCONTABLE,SECUENCIALAUXILIARCONTABLE,int,NO,MUL,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR_AUXILIARCONTABLE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_CUENTASPORPAGAR.RUBROPORPAGAR_AUXILIARCONTABLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
