Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_ESTRUCTURAS.ESTRUCTURA,CODIGO,varchar(15),NO,PRI,,
FBS_ESTRUCTURAS.ESTRUCTURA,NOMBRE,varchar(500),NO,,,
FBS_ESTRUCTURAS.ESTRUCTURA,CODIGOPERIODICIDADESTRUCTURA,char(1),NO,MUL,,
FBS_ESTRUCTURAS.ESTRUCTURA,NOMBREMETODO,varchar(50),NO,,,
FBS_ESTRUCTURAS.ESTRUCTURA,CODIGOUSUARIORESPONSABLE,varchar(25),NO,MUL,,
FBS_ESTRUCTURAS.ESTRUCTURA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURA,NUMEROVERIFICADOR,int,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURA,REQUIERESEI,tinyint unsigned,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURA,REQUIERESOLODETALLE,tinyint unsigned,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURA,REQUIEREFECHAINICIO,tinyint unsigned,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURA,SEPARADORCOLUMNA,varchar(50),NO,,|,
FBS_ESTRUCTURAS.ESTRUCTURA,RELLENOCOLUMNA,varchar(20),NO,,ESPACIO BLANCO,
FBS_ESTRUCTURAS.ESTRUCTURA,PATH,varchar(100),NO,,,
FBS_ESTRUCTURAS.ESTRUCTURA,RELLENOCOLUMNADECIMAL,varchar(20),NO,,0,
FBS_ESTRUCTURAS.ESTRUCTURA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ESTRUCTURAS.ESTRUCTURAARCHIVO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ESTRUCTURAS.ESTRUCTURAARCHIVO,CODIGOESTRUCTURA,varchar(15),NO,MUL,,
FBS_ESTRUCTURAS.ESTRUCTURAARCHIVO,COLUMNA,varchar(50),NO,,,
FBS_ESTRUCTURAS.ESTRUCTURAARCHIVO,ORDEN,int,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURAARCHIVO,ESCABECERA,tinyint unsigned,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURAARCHIVO,REDONDEO,int,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURAARCHIVO,NUMEROCARACTERES,int,NO,,12,
FBS_ESTRUCTURAS.ESTRUCTURAARCHIVO,RELLENACOLUMNAIZQUIERDA,tinyint unsigned,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURAARCHIVO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ESTRUCTURAS.ESTRUCTURAPROCESAMIENTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ESTRUCTURAS.ESTRUCTURAPROCESAMIENTO,CODIGOESTRUCTURA,varchar(15),NO,MUL,,
FBS_ESTRUCTURAS.ESTRUCTURAPROCESAMIENTO,FECHASISTEMAGENERACION,datetime(3),NO,,,
FBS_ESTRUCTURAS.ESTRUCTURAPROCESAMIENTO,FECHAMAQUINAGENERACION,datetime(3),NO,,,
FBS_ESTRUCTURAS.ESTRUCTURAPROCESAMIENTO,CODIGOUSUARIOGENERACION,varchar(25),NO,MUL,,
FBS_ESTRUCTURAS.ESTRUCTURAPROCESAMIENTO,ESPREVIA,tinyint unsigned,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURAPROCESAMIENTO,ESREPROCESO,tinyint unsigned,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURAPROCESAMIENTO,ERRORES,varchar(2000),NO,,,
FBS_ESTRUCTURAS.ESTRUCTURAPROCESAMIENTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ESTRUCTURAS.ESTRUCTURARESPONSABLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ESTRUCTURAS.ESTRUCTURARESPONSABLE,CODIGOESTRUCTURA,varchar(15),NO,MUL,,
FBS_ESTRUCTURAS.ESTRUCTURARESPONSABLE,CODIGOUSUARIORESPONSABLE,varchar(25),NO,MUL,,
FBS_ESTRUCTURAS.ESTRUCTURARESPONSABLE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURARESPONSABLE,NUMEROVERIFICADOR,int,NO,,,
FBS_ESTRUCTURAS.ESTRUCTURARESPONSABLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ESTRUCTURAS.PERIODICIDADESTRUCTURA,CODIGO,char(1),NO,PRI,,
FBS_ESTRUCTURAS.PERIODICIDADESTRUCTURA,DESCRIPCION,varchar(100),NO,,,
FBS_ESTRUCTURAS.PERIODICIDADESTRUCTURA,NUMERODIAS,int,NO,,,
FBS_ESTRUCTURAS.PERIODICIDADESTRUCTURA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_ESTRUCTURAS.PERIODICIDADESTRUCTURA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
