Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_GERENCIALES.CONCEPTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_GERENCIALES.CONCEPTO,NOMBRE,varchar(100),NO,,,
FBS_GERENCIALES.CONCEPTO,ESESTANDAR,tinyint unsigned,NO,,,
FBS_GERENCIALES.CONCEPTO,ESPROMEDIO,tinyint unsigned,NO,,,
FBS_GERENCIALES.CONCEPTO,ESNUMEROMES,tinyint unsigned,NO,,,
FBS_GERENCIALES.CONCEPTO,ESFUNCION,tinyint unsigned,NO,,,
FBS_GERENCIALES.CONCEPTO,ESDIVISIONCONCEPTO,tinyint unsigned,NO,,,
FBS_GERENCIALES.CONCEPTO,ESUNIDAD,tinyint,NO,,,
FBS_GERENCIALES.CONCEPTO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_GERENCIALES.CONCEPTO,NUMEROVERIFICADOR,int,NO,,,
FBS_GERENCIALES.CONCEPTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_GERENCIALES.CONCEPTODETALLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_GERENCIALES.CONCEPTODETALLE,SECUENCIALCONCEPTO,int,NO,MUL,,
FBS_GERENCIALES.CONCEPTODETALLE,CODIGOCUENTACONTABLE,varchar(40),NO,,,
FBS_GERENCIALES.CONCEPTODETALLE,ESPARASUMA,tinyint unsigned,NO,,,
FBS_GERENCIALES.CONCEPTODETALLE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_GERENCIALES.CONCEPTODETALLE,NUMEROVERIFICADOR,int,NO,,,
FBS_GERENCIALES.CONCEPTODETALLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_GERENCIALES.CONCEPTOFUNCION,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_GERENCIALES.CONCEPTOFUNCION,SECUENCIALCONCEPTO,int,NO,MUL,,
FBS_GERENCIALES.CONCEPTOFUNCION,NOMBREPROCEDIMIENTOEXTRAE,varchar(200),NO,,,
FBS_GERENCIALES.CONCEPTOFUNCION,ESPARASUMA,tinyint unsigned,NO,,,
FBS_GERENCIALES.CONCEPTOFUNCION,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_GERENCIALES.CONCEPTOFUNCION,NUMEROVERIFICADOR,int,NO,,,
FBS_GERENCIALES.CONCEPTOFUNCION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_GERENCIALES.GRAFICO,CODIGO,varchar(40),NO,PRI,,
FBS_GERENCIALES.GRAFICO,NOMBRE,varchar(200),NO,,,
FBS_GERENCIALES.GRAFICO,SECUENCIALEMPRESA,int,NO,,,
FBS_GERENCIALES.GRAFICO,CODIGOINSUMOGRAFICO,varchar(40),NO,MUL,,
FBS_GERENCIALES.GRAFICO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_GERENCIALES.GRAFICO,NUMEROVERIFICADOR,int,NO,,,
FBS_GERENCIALES.GRAFICO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_GERENCIALES.GRAFICOROL,SECUENCIAL,int,NO,UNI,,auto_increment
FBS_GERENCIALES.GRAFICOROL,CODIGOGRAFICO,varchar(40),NO,PRI,,
FBS_GERENCIALES.GRAFICOROL,CODIGOROL,varchar(20),NO,PRI,,
FBS_GERENCIALES.GRAFICOROL,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_GERENCIALES.GRAFICOROL,NUMEROVERIFICADOR,int,NO,,,
FBS_GERENCIALES.GRAFICOROL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_GERENCIALES.GRAFICOTIPOFILTRO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_GERENCIALES.GRAFICOTIPOFILTRO,CODIGOGRAFICO,varchar(40),NO,MUL,,
FBS_GERENCIALES.GRAFICOTIPOFILTRO,CODIGOTIPOFILTROGRAFICO,varchar(40),NO,MUL,,
FBS_GERENCIALES.GRAFICOTIPOFILTRO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_GERENCIALES.GRAFICOTIPOFILTRO,NUMEROVERIFICADOR,int,NO,,,
FBS_GERENCIALES.GRAFICOTIPOFILTRO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_GERENCIALES.INDICADORFINANCIERO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_GERENCIALES.INDICADORFINANCIERO,SIGLAS,varchar(20),NO,,,
FBS_GERENCIALES.INDICADORFINANCIERO,CODIGOTIPOINDICADORFINANCIERO,varchar(10),NO,MUL,,
FBS_GERENCIALES.INDICADORFINANCIERO,NOMBRE,varchar(100),NO,,,
FBS_GERENCIALES.INDICADORFINANCIERO,DEFINICION,varchar(500),NO,,,
FBS_GERENCIALES.INDICADORFINANCIERO,INTERPRETACION,varchar(500),NO,,,
