Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_GESTIONDOCUMENTAL.ENVIOCLIENTEOKM,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_GESTIONDOCUMENTAL.ENVIOCLIENTEOKM,IDENTIFICACION,varchar(20),NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOCLIENTEOKM,NUMEROCLIENTE,int,NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOCLIENTEOKM,ESTAENVIADO,tinyint unsigned,NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOCLIENTEOKM,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_GESTIONDOCUMENTAL.ENVIOCLIENTEOKM,FECHAPROCESO,datetime(3),NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOCLIENTEOKM,FECHASISTEMA,datetime(3),NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOCLIENTEOKM,FECHAMAQUINA,datetime(3),NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOOKM,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_GESTIONDOCUMENTAL.ENVIOOKM,NUMEROSOLICITUD,int,NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOOKM,FECHAMAQUINA,datetime(3),NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOOKM,FECHASISTEMA,datetime(3),NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOOKM,CODIGOUSUARIO,char(10),NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOOKM,ESTAENVIADO,tinyint unsigned,NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOOKM,ESREPROCESO,tinyint unsigned,NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOOKM,POSGENERACION,tinyint unsigned,NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOOKM,FECHAPROCESO,datetime(3),NO,,,
FBS_GESTIONDOCUMENTAL.ENVIOOKM,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,CODIGODOCUMENTO,varchar(10),NO,PRI,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,CODIGOTIPODOCUMENTOGESTIONDOCUMENTAL,varchar(10),NO,MUL,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,SECUENCIALMODULO,int,NO,MUL,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,NOMBRE,varchar(150),NO,,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,SIGLAS,varchar(10),NO,,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,DESCRIPCION,varchar(250),NO,,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,ESGENERICO,tinyint unsigned,NO,,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,ESVERSIONABLE,tinyint unsigned,NO,,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,ESAUTOGENERADO,tinyint unsigned,NO,,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,NUMEROVERIFICADOR,int,NO,,,
FBS_GESTIONDOCUMENTAL.ITEMDOCUMENTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_GESTIONDOCUMENTAL.TIPODOCUMENTOGESTIONDOCUMENTAL,CODIGO,varchar(10),NO,PRI,,
FBS_GESTIONDOCUMENTAL.TIPODOCUMENTOGESTIONDOCUMENTAL,NOMBRE,varchar(150),NO,,,
FBS_GESTIONDOCUMENTAL.TIPODOCUMENTOGESTIONDOCUMENTAL,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_GESTIONDOCUMENTAL.TIPODOCUMENTOGESTIONDOCUMENTAL,NUMEROVERIFICADOR,int,NO,,,
FBS_GESTIONDOCUMENTAL.TIPODOCUMENTOGESTIONDOCUMENTAL,ORDEN,int,NO,,,
FBS_GESTIONDOCUMENTAL.TIPODOCUMENTOGESTIONDOCUMENTAL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
