Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_INTERNETHUB.HISTORIALMENSAJECLIENTE_ASESOR,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_INTERNETHUB.HISTORIALMENSAJECLIENTE_ASESOR,SECUENCIALCLIENTE,int,NO,MUL,,
FBS_INTERNETHUB.HISTORIALMENSAJECLIENTE_ASESOR,CODIGOUSUARIOASESOR,varchar(25),NO,MUL,,
FBS_INTERNETHUB.HISTORIALMENSAJECLIENTE_ASESOR,MENSAJE,varchar(1000),NO,,,
FBS_INTERNETHUB.HISTORIALMENSAJECLIENTE_ASESOR,FECHASISTEMA,datetime(3),NO,,,
FBS_INTERNETHUB.HISTORIALMENSAJECLIENTE_ASESOR,FECHAMAQUINA,datetime(3),NO,,,
FBS_INTERNETHUB.HISTORIALMENSAJECLIENTE_ASESOR,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_INTERNETHUB.HISTORIALMENSAJECLIENTE_ASESOR,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,SECUENCIALCLIENTE,int,NO,MUL,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,CODIGOTIPOPRESTAMO,char(10),NO,MUL,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,CODIGOSUBCALIFICACIONCONTABLE,varchar(10),NO,MUL,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,SECUENCIALCONDICIONTABLAAMORTIZACION,int,NO,MUL,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,MONTOSOLICITADO,"decimal(18,2)",NO,,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,NUMEROCUOTAS,int,NO,,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,FRECUENCIAPAGO,int,NO,,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,DIAPAGO,int,NO,,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,FECHAADJUDICACION,datetime(3),NO,,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,FECHASISTEMA,datetime(3),NO,,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,FECHAMAQUINA,datetime(3),NO,,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_INTERNETHUB.HISTORIALSIMULADORCREDITO,CONCURRENCIA,timestamp(6),NO,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
