Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_INVENTARIOS.ALMACEN,CODIGO,varchar(10),NO,PRI,,
FBS_INVENTARIOS.ALMACEN,NOMBRE,varchar(50),NO,,,
FBS_INVENTARIOS.ALMACEN,DESCRIPCION,varchar(200),NO,,,
FBS_INVENTARIOS.ALMACEN,DIRECCION,varchar(200),NO,,,
FBS_INVENTARIOS.ALMACEN,TELEFONOPRINCIPAL,varchar(30),NO,,,
FBS_INVENTARIOS.ALMACEN,TELEFONOSECUNDARIO,varchar(30),NO,,,
FBS_INVENTARIOS.ALMACEN,CIUDAD,varchar(30),NO,,,
FBS_INVENTARIOS.ALMACEN,SECUENCIALOFICINAPERTENECE,int,NO,MUL,,
FBS_INVENTARIOS.ALMACEN,ESCOMISARIATO,tinyint unsigned,NO,,,
FBS_INVENTARIOS.ALMACEN,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_INVENTARIOS.ALMACEN,NUMEROVERIFICADOR,int,NO,,,
FBS_INVENTARIOS.ALMACEN,PUEDEGENERARFACTURA,tinyint unsigned,NO,,0,
FBS_INVENTARIOS.ALMACEN,PUEDEGENERARNOTAVENTA,tinyint unsigned,NO,,0,
FBS_INVENTARIOS.ALMACEN,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_INVENTARIOS.ALMACENBODEGA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_INVENTARIOS.ALMACENBODEGA,CODIGOALMACEN,varchar(10),NO,MUL,,
FBS_INVENTARIOS.ALMACENBODEGA,CODIGOBODEGA,varchar(10),NO,MUL,,
FBS_INVENTARIOS.ALMACENBODEGA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_INVENTARIOS.ALMACENBODEGA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_INVENTARIOS.ALMACENPORCENTAJEUTILIDAD,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_INVENTARIOS.ALMACENPORCENTAJEUTILIDAD,CODIGOALMACEN,varchar(10),NO,MUL,,
FBS_INVENTARIOS.ALMACENPORCENTAJEUTILIDAD,SECUENCIALPORCENTAJEUTILIDAD,int,NO,MUL,,
FBS_INVENTARIOS.ALMACENPORCENTAJEUTILIDAD,FECHAACTIVACION,datetime(3),NO,,,
FBS_INVENTARIOS.ALMACENPORCENTAJEUTILIDAD,ACREDITO,tinyint unsigned,NO,,,
FBS_INVENTARIOS.ALMACENPORCENTAJEUTILIDAD,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_INVENTARIOS.ALMACENPORCENTAJEUTILIDAD,NUMEROVERIFICADOR,int,NO,,,
FBS_INVENTARIOS.ALMACENPORCENTAJEUTILIDAD,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
