Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,CODIGOCATEGORIATIPOID,varchar(10),NO,MUL,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,FRECUENCIADESDE,int,NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,FRECUENCIAHASTA,int,NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,CALIFICACIONSOBREDIEZ,"decimal(18,2)",NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,FECHASISTEMAVIGENCIA,datetime(3),NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,FECHAMAQUINAVIGENCIA,datetime(3),NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,CODIGOUSUARIOINGRESA,varchar(25),NO,MUL,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,COLOR,int,NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,NUMEROVERIFICADOR,int,NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIAABSO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,CODIGOCATEGORIATIPOID,varchar(10),NO,MUL,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,PORCENTAJEDESDE,"decimal(18,2)",NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,PORCENTAJEHASTA,"decimal(18,2)",NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,CALIFICACIONSOBREDIEZ,"decimal(18,2)",NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,FECHASISTEMAVIGENCIA,datetime(3),NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,FECHAMAQUINAVIGENCIA,datetime(3),NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,CODIGOUSUARIOINGRESA,varchar(25),NO,MUL,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,COLOR,int,NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,NUMEROVERIFICADOR,int,NO,,,
FBS_LAVADOACTIVOS.CATCONDCALIFTRANFRECUENCIARELA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LAVADOACTIVOS.CATCONDICALIFTRANMONTOABSOLUTA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LAVADOACTIVOS.CATCONDICALIFTRANMONTOABSOLUTA,CODIGOCATEGORIATIPOID,varchar(10),NO,MUL,,
FBS_LAVADOACTIVOS.CATCONDICALIFTRANMONTOABSOLUTA,MONTODESDE,"decimal(18,2)",NO,,,
FBS_LAVADOACTIVOS.CATCONDICALIFTRANMONTOABSOLUTA,MONTOHASTA,"decimal(18,2)",NO,,,
FBS_LAVADOACTIVOS.CATCONDICALIFTRANMONTOABSOLUTA,CALIFICACIONSOBREDIEZ,"decimal(18,2)",NO,,,
FBS_LAVADOACTIVOS.CATCONDICALIFTRANMONTOABSOLUTA,FECHASISTEMAVIGENCIA,datetime(3),NO,,,
FBS_LAVADOACTIVOS.CATCONDICALIFTRANMONTOABSOLUTA,FECHAMAQUINAVIGENCIA,datetime(3),NO,,,
