Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_LOGS.ACCESOUSUARIO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.ACCESOUSUARIO,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_LOGS.ACCESOUSUARIO,MAQUINAINGRESO,varchar(4000),NO,,,
FBS_LOGS.ACCESOUSUARIO,FECHASISTEMA,datetime(3),NO,,,
FBS_LOGS.ACCESOUSUARIO,FECHAMAQUINA,datetime(3),NO,,,
FBS_LOGS.ACCESOUSUARIO,CRIPTOGRAFIAREGISTRO,varchar(4000),NO,,,
FBS_LOGS.ACCESOUSUARIO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.ACCESOUSUARIOMOVIL,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.ACCESOUSUARIOMOVIL,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_LOGS.ACCESOUSUARIOMOVIL,DISPOSITIVOINGRESO,varchar(100),NO,,,
FBS_LOGS.ACCESOUSUARIOMOVIL,FECHASISTEMA,datetime(3),NO,,,
FBS_LOGS.ACCESOUSUARIOMOVIL,FECHADISPOSITIVO,datetime(3),NO,,,
FBS_LOGS.ACCESOUSUARIOMOVIL,CRIPTOGRAFIAREGISTRO,varchar(500),NO,,,
FBS_LOGS.ACCESOUSUARIOMOVIL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.ACCIONROL,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.ACCIONROL,CODIGOACCION,varchar(100),NO,MUL,,
FBS_LOGS.ACCIONROL,CODIGOROL,varchar(20),NO,,,
FBS_LOGS.ACCIONROL,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_LOGS.ACCIONROL,NUMEROVERIFICADOR,int,NO,,,
FBS_LOGS.ACCIONROL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.ACCIONUSUARIO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.ACCIONUSUARIO,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_LOGS.ACCIONUSUARIO,MAQUINAINGRESO,varchar(100),NO,,,
FBS_LOGS.ACCIONUSUARIO,FECHASISTEMA,datetime(3),NO,,,
FBS_LOGS.ACCIONUSUARIO,FECHAMAQUINA,datetime(3),NO,,,
FBS_LOGS.ACCIONUSUARIO,CODIGOACCION,varchar(50),NO,,,
FBS_LOGS.ACCIONUSUARIO,DESCRIPCIONACCION,varchar(4000),NO,,,
FBS_LOGS.ACCIONUSUARIO,CRIPTOGRAFIAREGISTRO,varchar(500),NO,,,
FBS_LOGS.ACCIONUSUARIO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.ACCIONUSUARIO_CLIENTE,SECUENCIALACCIONUSUARIO,int,NO,PRI,,
FBS_LOGS.ACCIONUSUARIO_CLIENTE,SECUENCIALCLIENTE,int,NO,,,
FBS_LOGS.ACCIONUSUARIO_CLIENTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.AUDITORIADATABASE,ID,int,NO,PRI,,auto_increment
FBS_LOGS.AUDITORIADATABASE,CLUSTER,varchar(255),YES,,,
FBS_LOGS.AUDITORIADATABASE,USER,varchar(50),YES,,,
FBS_LOGS.AUDITORIADATABASE,IP,varchar(20),YES,,,
FBS_LOGS.AUDITORIADATABASE,DATABASE,varchar(50),YES,,,
FBS_LOGS.AUDITORIADATABASE,QUERY,varchar(255),YES,,,
FBS_LOGS.AUDITORIADATABASE,STATUS,varchar(50),YES,,,
FBS_LOGS.AUDITORIADATABASE,DATETIME,datetime,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP
FBS_LOGS.AUDITORIADATABASE,NOTIFICADOA,longtext,YES,,,
FBS_LOGS.AUDITORIAOPERACION,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.AUDITORIAOPERACION,ACCION,varchar(255),NO,,,
FBS_LOGS.AUDITORIAOPERACION,NOMBRETABLA,varchar(255),NO,,,
FBS_LOGS.AUDITORIAOPERACION,VALORANTERIOR,longtext,YES,,,
FBS_LOGS.AUDITORIAOPERACION,VALORNUEVO,longtext,YES,,,
FBS_LOGS.AUDITORIAOPERACION,FECHAMAQUINA,datetime(6),NO,,,
FBS_LOGS.AUDITORIAOPERACION,FECHASISTEMA,datetime(6),NO,MUL,,
FBS_LOGS.AUDITORIAOPERACION,INTERFAZCLIENTE,varchar(255),NO,,,
FBS_LOGS.AUDITORIAOPERACION,CODIGOUSUARIO,varchar(50),NO,MUL,,
FBS_LOGS.AUDITORIAOPERACION,SECUENCIALOFICINA,int,NO,,,
FBS_LOGS.AUDITORIAOPERACION,NOMBREOFICINA,varchar(150),NO,,,
FBS_LOGS.AUDITORIAOPERACION,HASH,longtext,NO,,,
FBS_LOGS.AUDITORIAOPERACION,CONCURRENCIA,timestamp(6),NO,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.AUDITORIASERVICIO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.AUDITORIASERVICIO,CODIGOUSUARIO,varchar(100),NO,,,
FBS_LOGS.AUDITORIASERVICIO,FECHASISTEMA,datetime(3),NO,,,
FBS_LOGS.AUDITORIASERVICIO,FECHAMAQUINA,datetime(3),NO,,,
FBS_LOGS.AUDITORIASERVICIO,OFICINA,varchar(100),NO,,,
FBS_LOGS.AUDITORIASERVICIO,IP,varchar(100),NO,,,
FBS_LOGS.AUDITORIASERVICIO,RUTAMENU,varchar(250),NO,,,
FBS_LOGS.AUDITORIASERVICIO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.CAMBIOCLAVE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.CAMBIOCLAVE,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_LOGS.CAMBIOCLAVE,MAQUINAINGRESO,varchar(100),NO,,,
FBS_LOGS.CAMBIOCLAVE,CLAVEALMACENADA,varchar(500),NO,,,
FBS_LOGS.CAMBIOCLAVE,FECHASISTEMA,datetime(3),NO,,,
FBS_LOGS.CAMBIOCLAVE,FECHAMAQUINA,datetime(3),NO,,,
FBS_LOGS.CAMBIOCLAVE,CODIGOUSUARIOINGRESO,varchar(25),NO,,,
FBS_LOGS.CAMBIOCLAVE,CRIPTOGRAFIAREGISTRO,varchar(500),NO,,,
FBS_LOGS.CAMBIOCLAVE,SECUENCIALMOTIVOCAMBIOCLAVE,int,NO,MUL,,
FBS_LOGS.CAMBIOCLAVE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.HISTORIALLOCALIZACIONUSUARIO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.HISTORIALLOCALIZACIONUSUARIO,CODIGOUSUARIO,varchar(25),NO,,,
FBS_LOGS.HISTORIALLOCALIZACIONUSUARIO,MACDISPOSITIVO,varchar(100),NO,,,
FBS_LOGS.HISTORIALLOCALIZACIONUSUARIO,LATITUD,varchar(50),NO,,,
FBS_LOGS.HISTORIALLOCALIZACIONUSUARIO,LONGITUD,varchar(50),NO,,,
FBS_LOGS.HISTORIALLOCALIZACIONUSUARIO,FECHASISTEMA,datetime(3),NO,,,
FBS_LOGS.HISTORIALLOCALIZACIONUSUARIO,FECHAMAQUINA,datetime(3),NO,,,
FBS_LOGS.HISTORIALLOCALIZACIONUSUARIO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.LOGTIMEOUT,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.LOGTIMEOUT,NOMBREPROCESO,varchar(50),NO,,,
FBS_LOGS.LOGTIMEOUT,NUMEROEJECUCIONES,int,NO,,,
FBS_LOGS.LOGTIMEOUT,IDOBJETO,varchar(50),NO,,,
FBS_LOGS.LOGTIMEOUT,SQL,longtext,NO,,,
FBS_LOGS.LOGTIMEOUT,ULTIMAEJECUCION,datetime(3),NO,,,
FBS_LOGS.LOGTIMEOUT,DATOBASE,varchar(50),NO,,,
FBS_LOGS.LOGTIMEOUT,FECHA,datetime(3),NO,,,
FBS_LOGS.LOGTIMEOUT,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.MOTIVOCAMBIOCLAVE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.MOTIVOCAMBIOCLAVE,NOMBRE,varchar(50),NO,,,
FBS_LOGS.MOTIVOCAMBIOCLAVE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_LOGS.MOTIVOCAMBIOCLAVE,NUMEROVERIFICADOR,int,NO,,,
FBS_LOGS.MOTIVOCAMBIOCLAVE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_LOGS.MOVIMIENTOCLIENTELISTACONTROL,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_LOGS.MOVIMIENTOCLIENTELISTACONTROL,DOCUMENTOMOVIMIENTO,varchar(50),NO,,,
FBS_LOGS.MOVIMIENTOCLIENTELISTACONTROL,SECUENCIALCLIENTE,int,NO,,,
