Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_MIGRACION.ACTIVIDADECONOMICA,CODIGO,varchar(20),NO,,,
FBS_MIGRACION.ACTIVIDADECONOMICA,NOMBRE,varchar(500),NO,,,
FBS_MIGRACION.ACTIVIDADECONOMICA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AHORROPROGRAMADO_CUOTAS_MIGRA,CODIGO,varchar(40),NO,PRI,,
FBS_MIGRACION.AHORROPROGRAMADO_CUOTAS_MIGRA,CUOTASCANCELADASMIGRADAS,int,NO,,,
FBS_MIGRACION.AHORROPROGRAMADO_CUOTAS_MIGRA,CUOTASDEFINIDASMIGRADAS,int,NO,,,
FBS_MIGRACION.AHORROPROGRAMADO_CUOTAS_MIGRA,CUOTASCANCELADASCORRECTAS,int,NO,,,
FBS_MIGRACION.AREA,CODIGO,varchar(5),NO,PRI,,
FBS_MIGRACION.AREA,NOMBRE,varchar(50),NO,,,
FBS_MIGRACION.AREA,ESPARACARTERA,tinyint unsigned,NO,,,
FBS_MIGRACION.AREA,ESPARAVISTA,tinyint unsigned,NO,,,
FBS_MIGRACION.AREA,ESPARAPLAZO,tinyint unsigned,NO,,,
FBS_MIGRACION.AREA,ESPARAORGANIZACION,tinyint unsigned,NO,,,
FBS_MIGRACION.AREA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AUXILIAR_MOVIMIENTOCAJACHICA_EGRESO,SECUENCIALMOVIMIENTOCAJACHICA,int,YES,,,
FBS_MIGRACION.AUXILIAR_MOVIMIENTOCAJACHICA_EGRESO,FECHASISTEMA,datetime,YES,,,
FBS_MIGRACION.AYUDAACREDITACIONINTERES,SECUENCIALCUENTAMAESTRO,int,NO,PRI,,
FBS_MIGRACION.AYUDAACREDITACIONINTERES,SALDOINTERES,"decimal(18,2)",YES,,,
FBS_MIGRACION.AYUDAACREDITACIONINTERES,SIIMPUESTOS,tinyint,YES,,,
FBS_MIGRACION.AYUDAACREDITACIONINTERES,PORCENTAJERETENCION,"decimal(18,2)",YES,,,
FBS_MIGRACION.AYUDAACREDITACIONINTERES,ACEPTARETENCION,tinyint,YES,,,
FBS_MIGRACION.AYUDABOVEDAS,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_MIGRACION.AYUDABOVEDAS,SECOFICINA,int,NO,,,
FBS_MIGRACION.AYUDABOVEDAS,USUARIORESPONSABLE,varchar(50),NO,,,
FBS_MIGRACION.AYUDABOVEDAS,EXISTENCIAMAXIMA,"decimal(18,2)",YES,,,
FBS_MIGRACION.AYUDABOVEDAS,MAXIMOVENTANILLA,"decimal(18,2)",YES,,,
FBS_MIGRACION.AYUDABOVEDAS,HOLGURA,"decimal(18,2)",YES,,,
FBS_MIGRACION.AYUDABOVEDAS,ASEGURADORA,"decimal(18,2)",YES,,,
FBS_MIGRACION.AYUDABOVEDAS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDACAJACHICA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_MIGRACION.AYUDACAJACHICA,SECUENCIALOFICINA,int,NO,,,
FBS_MIGRACION.AYUDACAJACHICA,OFICINA,varchar(50),NO,,,
FBS_MIGRACION.AYUDACAJACHICA,CODIGOUSUARIORESPONSABLE,varchar(50),NO,,,
FBS_MIGRACION.AYUDACAJACHICA,SALDO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDACAJACHICA,CODIGOCUENTACONTABLE,varchar(50),NO,,,
FBS_MIGRACION.AYUDACAJACHICA,MONTOMAXIMOPARAREPOSICION,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDACAJACHICA,MONTOMINIMO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDACAJACHICA,MAXIMOVALORTRANSACCION,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDACAJACHICA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDACODIGOS,CODIGOS,varchar(80),NO,,,
FBS_MIGRACION.AYUDACODIGOS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDACODIGOS,PROCESAR,tinyint(1),NO,,,
FBS_MIGRACION.AYUDACODIGOS,ESTAPROCESADO,tinyint(1),NO,,,
FBS_MIGRACION.AYUDACONTABLES,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_MIGRACION.AYUDACONTABLES,SECUENCIALMOVCOMPCONTABLE,int,NO,,,
FBS_MIGRACION.AYUDACONTABLES,VALORMCC,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDACONTABLES,COTIZACION,"decimal(9,3)",NO,,,
FBS_MIGRACION.AYUDACONTABLES,SECUENCIALMOVCOMMONEXT,int,NO,,,
FBS_MIGRACION.AYUDACONTABLES,VALORMCE,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDACONTABLES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDACORRECCIONPRESTAMOS,SECUENCIALPRESTAMO,int,NO,PRI,,
FBS_MIGRACION.AYUDACORRECCIONPRESTAMOS,NUMEROPRESTAMO,varchar(50),NO,,,
FBS_MIGRACION.AYUDACORRECCIONPRESTAMOS,SALDOACTUAL,"decimal(18,2)",YES,,,
FBS_MIGRACION.AYUDACORRECCIONPRESTAMOS,SALDOACTUALCOMPONENTES,"decimal(18,2)",YES,,,
FBS_MIGRACION.AYUDACORRECCIONPRESTAMOS,DIFERENCIA,"decimal(18,2)",YES,,,
FBS_MIGRACION.AYUDACORRECCIONPRESTAMOS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDACUENTAJURIDICASALDOFECHA,SECUENCIALCUENTA,int,NO,,,
FBS_MIGRACION.AYUDACUENTAJURIDICASALDOFECHA,SALDO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDACUENTAJURIDICASALDOFECHA,FECHA,datetime(3),NO,,,
FBS_MIGRACION.AYUDACUENTASAFECTAVENTA,SECUENCIAL,int,NO,PRI,,
FBS_MIGRACION.AYUDACUENTASAFECTAVENTA,CODIGO,varchar(20),NO,,,
FBS_MIGRACION.AYUDACUENTASAFECTAVENTA,NOMBRE,varchar(4000),NO,,,
FBS_MIGRACION.AYUDACUENTASAFECTAVENTA,AFECTALIBRO,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDACUENTASAFECTAVENTA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDACXC,SECUENCIAL,int,NO,,,
FBS_MIGRACION.AYUDACXC,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDADEPARTAMENTO,SECUENCIAL,int,NO,,,
FBS_MIGRACION.AYUDADEPARTAMENTO,NOMBRE,varchar(50),NO,,,
FBS_MIGRACION.AYUDADEPARTAMENTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDAFIRMANTESDOCUMENTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_MIGRACION.AYUDAFIRMANTESDOCUMENTO,SECUENCIALDOCUMENTO,int,NO,,,
FBS_MIGRACION.AYUDAFIRMANTESDOCUMENTO,SECUENCIALOFICINA,int,NO,,,
FBS_MIGRACION.AYUDAFIRMANTESDOCUMENTO,MONTOINICIO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDAFIRMANTESDOCUMENTO,MONTOFIN,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDAFIRMANTESDOCUMENTO,CODIGOUSUARIO,varchar(25),NO,,,
FBS_MIGRACION.AYUDAFIRMANTESDOCUMENTO,ESPRINCIPAL,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAFIRMANTESDOCUMENTO,CODIGOUSUARIOSUPLENTE,varchar(25),NO,,,
FBS_MIGRACION.AYUDAINTERESJURIDICAS,SECUENCIALCUENTA,int,NO,PRI,,
FBS_MIGRACION.AYUDAINTERESJURIDICAS,CODIGOCUENTA,varchar(20),NO,,,
FBS_MIGRACION.AYUDAINTERESJURIDICAS,SALDO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDAINTERESJURIDICAS,DIAS,int,NO,,,
FBS_MIGRACION.AYUDAINTERESJURIDICAS,TASA,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDAINTERESJURIDICAS,INTERESDIARIO,"decimal(18,6)",NO,,,
FBS_MIGRACION.AYUDAINTERESJURIDICAS,INTERESTOTAL,"decimal(18,6)",NO,,,
FBS_MIGRACION.AYUDAINTERESJURIDICAS,SECUENCIALCUENTACOMPONENTEVISTAINTERES,int,YES,,,
FBS_MIGRACION.AYUDAOFICINA,SECUENCIAL,int,NO,,,
FBS_MIGRACION.AYUDAOFICINA,NOMBRE,varchar(50),NO,,,
FBS_MIGRACION.AYUDAOFICINA,CODIGOOFICINACONTROL,varchar(4),NO,,,
FBS_MIGRACION.AYUDAOFICINA,CIUDAD,varchar(50),NO,,,
FBS_MIGRACION.AYUDAOFICINA,SIGLAS,varchar(5),NO,,,
FBS_MIGRACION.AYUDAOFICINA,VALORMAXIMOVENTANILLA,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDAOFICINA,REGION,varchar(3),NO,,,
FBS_MIGRACION.AYUDAOFICINA,CODIGOCONTROLLAVADOACTIVOS,varchar(20),NO,,,
FBS_MIGRACION.AYUDAOFICINA,DIRECCIONOFICINA,varchar(100),NO,,,
FBS_MIGRACION.AYUDAOFICINA,DISTRITO,varchar(50),NO,,,
FBS_MIGRACION.AYUDAOFICINA,HORARIOATENCION,varchar(100),NO,,,
FBS_MIGRACION.AYUDAOFICINA,EMAILOFICINA,varchar(100),NO,,,
FBS_MIGRACION.AYUDAOFICINA,TELEFONOOFICINA,varchar(100),NO,,,
FBS_MIGRACION.AYUDAOFICINA,CELULAROFICINA,varchar(100),NO,,,
FBS_MIGRACION.AYUDAOFICINA,FECHACIERRE,datetime(3),NO,,,
FBS_MIGRACION.AYUDAOFICINA,CODIGOREGION,varchar(3),NO,,,
FBS_MIGRACION.AYUDAOFICINA,CODIGOSEPS,varchar(4),NO,,,
FBS_MIGRACION.AYUDAOFICINA,CODIGOUIF,varchar(4),NO,,,
FBS_MIGRACION.AYUDAOFICINA,VALORHOLGURAVENTANILLA,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDAOFICINA,ESMATRIZ,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAOFICINA,ESSUCURSAL,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAOFICINA,ESAGENCIA,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAOFICINA,FECHACREACION,datetime(3),NO,,,
FBS_MIGRACION.AYUDAOFICINA,CODIGOESTABLECIMIENTO,varchar(6),NO,,,
FBS_MIGRACION.AYUDAOFICINA,CODIGOPUNTOEMISION,varchar(6),NO,,,
FBS_MIGRACION.AYUDAOFICINA,AUTORIZACION,varchar(10),NO,,,
FBS_MIGRACION.AYUDAOFICINA,PATRIMONIO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDAOFICINA,CAPITALSOCIAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDAOFICINA,PARTICIPACION,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDAOFICINA,DEVOLUCIONCAPITALSOCIAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDAOFICINA,DISTRITOFORMATO,varchar(40),NO,,,
FBS_MIGRACION.AYUDAOFICINA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDAPLANCUENTAS,SEC,int,NO,PRI,,auto_increment
FBS_MIGRACION.AYUDAPLANCUENTAS,CODIGO,varchar(50),NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,NOMBRE,varchar(4000),NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,ESDEUDORA,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,AFECTAMANUALMENTE,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,ESDETOTAL,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,REQUIEREAUXILIAR,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,MONEDA,int,NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,ESDEINTEGRACION,int,NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,ESPARAPRIMANIVELACION,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,ESPARACAJACHICA,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,ESPARAVENTAS,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,AFECTALIBROVENTAS,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDAPLANCUENTAS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDARANGOSALDOPROMEDIO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_MIGRACION.AYUDARANGOSALDOPROMEDIO,SECUENCIALMONEDA,int,NO,,,
FBS_MIGRACION.AYUDARANGOSALDOPROMEDIO,MONTOMINIMO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDARANGOSALDOPROMEDIO,MONTOMAXIMO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDARANGOSALDOPROMEDIO,DESCRIPCION,varchar(100),NO,,,
FBS_MIGRACION.AYUDARANGOSALDOPROMEDIO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDARANGOSALDOPROMEDIO,NUMEROVERIFICADOR,int,NO,,,
FBS_MIGRACION.AYUDARANGOSALDOPROMEDIO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDASALDOCONTABLE,SECUENCIAL,int,NO,,0,
FBS_MIGRACION.AYUDASALDOCONTABLE,SECUENCIALCUENTACONTABLE,int,NO,,,
FBS_MIGRACION.AYUDASALDOCONTABLE,SECUENCIALDIVISIONORGANIZACION,int,NO,,,
FBS_MIGRACION.AYUDASALDOCONTABLE,FECHA,datetime(3),NO,,,
FBS_MIGRACION.AYUDASALDOCONTABLE,SECUENCIALMONEDA,int,NO,,,
FBS_MIGRACION.AYUDASALDOCONTABLE,SALDOINICIAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDASALDOCONTABLE,TOTALDEBITO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDASALDOCONTABLE,TOTALCREDITO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDASALDOCONTABLE,ESTACERRADO,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDASALDOCONTABLE,NUMEROVERIFICADOR,int,NO,,,
FBS_MIGRACION.AYUDASALDOCONTABLE,SECMIGRA,int,YES,,,
FBS_MIGRACION.AYUDASALDOCONTABLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDASECUENCIALES,SECUENCIALES,int,NO,PRI,,
FBS_MIGRACION.AYUDASECUENCIALES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDATASAINTERES,NUMEROPRESTAMO,varchar(20),NO,PRI,,
FBS_MIGRACION.AYUDATASAINTERES,TASAINTERES,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAINTERES,PORCINTE,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAINTERES,CONVTASA,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAINTERES,FECHCAST,date,NO,,,
FBS_MIGRACION.AYUDATASAINTERES,CODIGOESTADOPRESTAMO,varchar(1),NO,,,
FBS_MIGRACION.AYUDATASAS_PLAZO,CODIGOTIPODEPOSITO,varchar(40),NO,,,
FBS_MIGRACION.AYUDATASAS_PLAZO,MONTOINICIAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_PLAZO,MONTOFINAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_PLAZO,PLAZOINICIAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_PLAZO,PLAZOFINAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_PLAZO,TASANOMINAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_PLAZO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDATASAS_VISTA,CODIGOTIPOCUENTA,varchar(40),NO,,,
FBS_MIGRACION.AYUDATASAS_VISTA,MONTOINICIAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_VISTA,MONTOFINAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_VISTA,PLAZOINICIAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_VISTA,PLAZOFINAL,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_VISTA,TASAMINIMA,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_VISTA,TASAMAXIMA,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATASAS_VISTA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_MIGRACION.AYUDATIPOCUENTA,CODIGO,varchar(20),NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,NOMBRE,varchar(50),NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,SIGLAS,varchar(3),NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,ESOPERATIVO,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,SECUENCIALEMPRESA,int,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,ACEPTAMULTICUENTA,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,ACEPTASOBREGIROAUTOMATICO,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,PROVISIONAINTERES,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,SALDOMINIMO,"decimal(18,2)",NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,NUMEROVERIFICADOR,int,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,ESAHORROPROGRAMADO,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,ACEPTATALONARIO,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,ESENCAJE,tinyint unsigned,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,CODIGOPERIODOACREDINTERES,varchar(20),NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,DIASINACTIVA,int,NO,,,
FBS_MIGRACION.AYUDATIPOCUENTA,VALORMINIMOAPERTURA,"decimal(18,2)",YES,,,
FBS_MIGRACION.AYUDATIPOCUENTA,ESAPORTACION,tinyint unsigned,NO,,,
