Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_NEGOCIOSFINANCIEROS.CANAL,CODIGO,varchar(10),NO,PRI,,
FBS_NEGOCIOSFINANCIEROS.CANAL,NOMBRE,varchar(100),NO,,,
FBS_NEGOCIOSFINANCIEROS.CANAL,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.CANAL,NUMEROVERIFICADOR,int,NO,,,
FBS_NEGOCIOSFINANCIEROS.CANAL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NEGOCIOSFINANCIEROS.CARACTERESNOVALIDOSROTEF,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_NEGOCIOSFINANCIEROS.CARACTERESNOVALIDOSROTEF,CARACTER,char(1),NO,,,
FBS_NEGOCIOSFINANCIEROS.CARACTERESNOVALIDOSROTEF,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,NOMBRE,varchar(100),NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,SIGLAS,char(5),NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,SECUENCIALEMPRESA,int,NO,MUL,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,ESOPERATIVO,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,MOVIMIENTOENBLOQUE,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,CODIGOTIPOPRODUCTO,varchar(30),NO,MUL,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,REQUIERECUENTACONTABLE,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,NUMEROVERIFICADOR,int,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NEGOCIOSFINANCIEROS.COMPONENTETIPOMOVIMIENTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_NEGOCIOSFINANCIEROS.COMPONENTETIPOMOVIMIENTO,SECUENCIALCOMPONENTE,int,NO,MUL,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTETIPOMOVIMIENTO,CODIGOTIPOMOVIMIENTO,varchar(15),NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTETIPOMOVIMIENTO,ESDEBITO,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTETIPOMOVIMIENTO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTETIPOMOVIMIENTO,NUMEROVERIFICADOR,int,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTETIPOMOVIMIENTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_AREA,SECUENCIALCOMPONENTECUENTACBLE,int,NO,PRI,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_AREA,SECUENCIALAREA,int,NO,MUL,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_AREA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_AREA,NUMEROVERIFICADOR,int,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_AREA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_AUXILIARCONTABLE,SECUENCIALCOMPONENTECUENTACBLE,int,NO,PRI,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_AUXILIARCONTABLE,SECUENCIALAUXILIARCONTABLE,int,NO,MUL,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_AUXILIARCONTABLE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_AUXILIARCONTABLE,NUMEROVERIFICADOR,int,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_AUXILIARCONTABLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_CUENTACONTABLE,SECUENCIALCOMPONENTE,int,NO,PRI,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_CUENTACONTABLE,SECUENCIALCUENTACONTABLE,int,NO,MUL,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_CUENTACONTABLE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_CUENTACONTABLE,NUMEROVERIFICADOR,int,NO,,,
FBS_NEGOCIOSFINANCIEROS.COMPONENTE_CUENTACONTABLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NEGOCIOSFINANCIEROS.DOCUMENTODOCUMENTORELACIONADO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_NEGOCIOSFINANCIEROS.DOCUMENTODOCUMENTORELACIONADO,DOCUMENTO,varchar(100),NO,,,
FBS_NEGOCIOSFINANCIEROS.DOCUMENTODOCUMENTORELACIONADO,DOCUMENTORELACIONADO,varchar(100),NO,,,
FBS_NEGOCIOSFINANCIEROS.DOCUMENTODOCUMENTORELACIONADO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,SECUENCIALEMPRESA,int,NO,MUL,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,TASAPASIVAREFERENCIAL,"decimal(18,2)",NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,TASAACTIVAREFERENCIAL,"decimal(18,2)",NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,TASALEGAL,"decimal(18,2)",NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,TASAMAXIMACONVENCIONAL,"decimal(18,2)",NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,CODIGOUSUARIOACTIVA,varchar(25),NO,MUL,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,FECHASISTEMAACTIVACION,datetime(3),NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,FECHAMAQUINAACTIVACION,datetime(3),NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,CANASTABASICA,"decimal(18,2)",NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,NUMEROVERIFICADOR,int,NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESAPARAMTASASREFERENCIALES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NEGOCIOSFINANCIEROS.EMPRESA_PARAMETROCONSEP,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_NEGOCIOSFINANCIEROS.EMPRESA_PARAMETROCONSEP,VALORANEXO2,"decimal(18,2)",NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESA_PARAMETROCONSEP,NUMERODIASANEXO2,int,NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESA_PARAMETROCONSEP,NUMEROVERIFICADOR,int,NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESA_PARAMETROCONSEP,NUMEROMINIMOCARACTERESORIGEN,int,NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESA_PARAMETROCONSEP,VALORANEXO2REMESAS,"decimal(18,2)",NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESA_PARAMETROCONSEP,PERMITESUPERARUMBRALSUBAGENTE,tinyint unsigned,NO,,,
FBS_NEGOCIOSFINANCIEROS.EMPRESA_PARAMETROCONSEP,NUMEROHORASACUMULAMONTO,int,NO,,,
