Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_NOMINA.ACCIONPERSONAL,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_NOMINA.ACCIONPERSONAL,NUMEROACCION,int,NO,,,
FBS_NOMINA.ACCIONPERSONAL,SECUENCIALEMPLEADO,int,NO,MUL,,
FBS_NOMINA.ACCIONPERSONAL,SECUENCIALCONTRATO,int,NO,MUL,,
FBS_NOMINA.ACCIONPERSONAL,SECUENCIALMOTIVO,int,NO,MUL,,
FBS_NOMINA.ACCIONPERSONAL,CODIGOESTADO,char(1),NO,MUL,,
FBS_NOMINA.ACCIONPERSONAL,FECHA,datetime(3),NO,,,
FBS_NOMINA.ACCIONPERSONAL,EXPLICACION,varchar(400),NO,,,
FBS_NOMINA.ACCIONPERSONAL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NOMINA.ACCIONPERSONALCAMBIOCARGOENLOTEDETALLE,SECUENCIALACCIONPERSONAL,int,NO,PRI,,
FBS_NOMINA.ACCIONPERSONALCAMBIOCARGOENLOTEDETALLE,SECUENCIALCAMBIOCARGOENLOTEDETALLE,int,NO,MUL,,
FBS_NOMINA.ACCIONPERSONALCAMBIOCARGOENLOTEDETALLE,SECUENCIALCARGOANTERIOR,int,NO,MUL,,
FBS_NOMINA.ACCIONPERSONALCAMBIOCARGOENLOTEDETALLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NOMINA.ACCIONPERSONALESTADOHISTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_NOMINA.ACCIONPERSONALESTADOHISTO,SECUENCIALACCIONPERSONAL,int,NO,MUL,,
FBS_NOMINA.ACCIONPERSONALESTADOHISTO,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_NOMINA.ACCIONPERSONALESTADOHISTO,CODIGOESTADO,char(1),NO,MUL,,
FBS_NOMINA.ACCIONPERSONALESTADOHISTO,ESAUTOAPROBADO,tinyint unsigned,NO,,,
FBS_NOMINA.ACCIONPERSONALESTADOHISTO,FECHASISTEMA,datetime(3),NO,,,
FBS_NOMINA.ACCIONPERSONALESTADOHISTO,FECHAMAQUINA,datetime(3),NO,,,
FBS_NOMINA.ACCIONPERSONALESTADOHISTO,OBSERVACION,varchar(400),NO,,,
FBS_NOMINA.ACCIONPERSONALESTADOHISTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMP,SECACCIONPERSONALPERMDIAS,int,NO,PRI,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMP,CUMPLIMIENTO,tinyint unsigned,NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMP,OBSERVACION,varchar(500),NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMP,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMPHR,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMPHR,SECACCIONPERSPERMDIAS,int,NO,MUL,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMPHR,FECHACUMPLIMIENTO,datetime(3),NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMPHR,HORAINICIO,int,NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMPHR,MINUTOINICIO,int,NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMPHR,MINUTOSCUMPLIMIENTO,int,NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMPHR,COMENTARIO,varchar(250),NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMPHR,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_CUMPHR,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_REEM,SECACCIONPERSONALPERMISODIAS,int,NO,PRI,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_REEM,SECUENCIALEMPLEADOREEMPLAZADO,int,NO,MUL,,
FBS_NOMINA.ACCIONPERSONAL_PERMDIAS_REEM,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NOMINA.ACCIONPERSONAL_PERMHORAS_REEM,SECACCIONPERSONALPERMISOHORAS,int,NO,PRI,,
FBS_NOMINA.ACCIONPERSONAL_PERMHORAS_REEM,SECUENCIALEMPLEADOREEMPLAZADO,int,NO,MUL,,
FBS_NOMINA.ACCIONPERSONAL_PERMHORAS_REEM,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NOMINA.ACCIONPERSONAL_PERMHRS_CUMP,SECACCIONPERSONALPERMHRS,int,NO,PRI,,
FBS_NOMINA.ACCIONPERSONAL_PERMHRS_CUMP,CUMPLIMIENTO,tinyint unsigned,NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMHRS_CUMP,OBSERVACION,varchar(500),NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMHRS_CUMP,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_NOMINA.ACCIONPERSONAL_PERMHRS_CUMPHR,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_NOMINA.ACCIONPERSONAL_PERMHRS_CUMPHR,SECACCIONPERSONALPERMHRS,int,NO,MUL,,
FBS_NOMINA.ACCIONPERSONAL_PERMHRS_CUMPHR,FECHACUMPLIMIENTO,datetime(3),NO,,,
FBS_NOMINA.ACCIONPERSONAL_PERMHRS_CUMPHR,HORAINICIO,int,NO,,,
