Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_OBLIGACIONES.ACCIONOBLIGACIONES,CODIGO,varchar(10),NO,PRI,,
FBS_OBLIGACIONES.ACCIONOBLIGACIONES,NOMBRE,varchar(100),NO,,,
FBS_OBLIGACIONES.ACCIONOBLIGACIONES,VALOR,"decimal(18,2)",NO,,,
FBS_OBLIGACIONES.ACCIONOBLIGACIONES,FECHAVALOR,datetime(3),NO,,,
FBS_OBLIGACIONES.ACCIONOBLIGACIONES,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_OBLIGACIONES.ACCIONOBLIGACIONES,NUMEROVERIFICADOR,int,NO,,,
FBS_OBLIGACIONES.ACCIONOBLIGACIONES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_OBLIGACIONES.CARGOINICIAL_AUXILIARCONTABLE,SECUENCIALCARGOINICIAL,int,NO,PRI,,
FBS_OBLIGACIONES.CARGOINICIAL_AUXILIARCONTABLE,SECUENCIALAUXILIAR,int,NO,MUL,,
FBS_OBLIGACIONES.CARGOINICIAL_AUXILIARCONTABLE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_OBLIGACIONES.CARGOINICIAL_AUXILIARCONTABLE,NUMEROVERIFICADOR,int,NO,,,
FBS_OBLIGACIONES.CARGOINICIAL_AUXILIARCONTABLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_OBLIGACIONES.CAUSALACTIVACION_AUXILIARCONT,SECUENCIALCAUSALACTIVACION,int,NO,PRI,,
FBS_OBLIGACIONES.CAUSALACTIVACION_AUXILIARCONT,SECUENCIALAUXULIARCONTABLE,int,NO,MUL,,
FBS_OBLIGACIONES.CAUSALACTIVACION_AUXILIARCONT,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_OBLIGACIONES.CAUSALACTIVACION_AUXILIARCONT,NUMEROVERIFICADOR,int,NO,,,
FBS_OBLIGACIONES.CAUSALACTIVACION_AUXILIARCONT,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_OBLIGACIONES.COMPONENTE_CAUSALAJUSTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_OBLIGACIONES.COMPONENTE_CAUSALAJUSTE,SECUENCIALMONEDA,int,NO,MUL,,
FBS_OBLIGACIONES.COMPONENTE_CAUSALAJUSTE,SECUENCIALCOMPONENTECAUSAL,int,NO,MUL,,
FBS_OBLIGACIONES.COMPONENTE_CAUSALAJUSTE,SECCNTACONTCONTRAPARTIDA,int,NO,MUL,,
FBS_OBLIGACIONES.COMPONENTE_CAUSALAJUSTE,ESDEBITO,tinyint unsigned,NO,,,
FBS_OBLIGACIONES.COMPONENTE_CAUSALAJUSTE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_OBLIGACIONES.COMPONENTE_CAUSALAJUSTE,NUMEROVERIFICADOR,int,NO,,,
FBS_OBLIGACIONES.COMPONENTE_CAUSALAJUSTE,SECUENCIALCOMPOBLIGAFECTA,int,NO,MUL,,
FBS_OBLIGACIONES.COMPONENTE_CAUSALAJUSTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION,SECUENCIALCOMPONENTE,int,NO,PRI,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION,PRIORIDADPAGO,int,NO,,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION,SECUENCIALTIPOCOMPONENTEOBLIG,int,NO,MUL,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION,COLUMNA,int,NO,,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_ADICIONAL,SECUENCIALCOMPONENTEOBLIGACION,int,NO,PRI,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_ADICIONAL,NOMBREMETODO,varchar(100),NO,,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_ADICIONAL,SECUENCIALCUENTACONTABLEPROVIS,int,NO,MUL,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_ADICIONAL,FACTORCALCULO,"decimal(18,6)",NO,,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_ADICIONAL,ESPROVISIONIMPUESTORENTA,tinyint unsigned,NO,,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_ADICIONAL,ESPROVISIONSALIDADIVISAS,tinyint unsigned,NO,,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_ADICIONAL,NUMEROVERIFICADOR,int,NO,,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_ADICIONAL,CODIGOFRECUENCIAPAGOCOMISIONFIJA,varchar(20),NO,MUL,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_ADICIONAL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_CAPITAL,SECUENCIALCOMPONENTEOBLIGACION,int,NO,PRI,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_CAPITAL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_INTERES,SECUENCIALCOMPONENTEOBLIGACION,int,NO,PRI,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_INTERES,SECUENCIALCUENTACONTABLEPROVIS,int,NO,MUL,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_INTERES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_RELACDO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_RELACDO,SECUENCIALCOMPONENTEOBLIGACION,int,NO,MUL,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_RELACDO,SECUENCIALCOMPONENOBLIGRELACDO,int,NO,MUL,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_RELACDO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_RELACDO,NUMEROVERIFICADOR,int,NO,,,
FBS_OBLIGACIONES.COMPONENTE_OBLIGACION_RELACDO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,SECUENCIALPRESTAMO,int,NO,MUL,,
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,SECUENCIALOBLIGACIONGARANTIA,int,NO,MUL,,
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,NUMERODOCUMENTO,int,NO,,,
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,FECHAGENERACIONDOCUMENTO,datetime(3),NO,,,
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,FECHAINICIOPERIODO,datetime(3),NO,,,
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,FECHAFINPERIODO,datetime(3),NO,,,
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,NUMEROVERIFICADOR,int,NO,,,
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,SALDOACTUAL,"decimal(18,2)",NO,,,
FBS_OBLIGACIONES.DOCUMENTOGARANTIAENDOSO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
