Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_ORGANIZACIONES.AREA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ORGANIZACIONES.AREA,CODIGO,varchar(20),NO,,,
FBS_ORGANIZACIONES.AREA,NOMBRE,varchar(50),NO,,,
FBS_ORGANIZACIONES.AREA,SECUENCIALEMPRESA,int,NO,MUL,,
FBS_ORGANIZACIONES.AREA,ESOPERATIVA,tinyint unsigned,NO,,,
FBS_ORGANIZACIONES.AREA,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_ORGANIZACIONES.AREA,NUMEROVERIFICADOR,int,NO,,,
FBS_ORGANIZACIONES.AREA,CODIGOTIPOAREA,varchar(20),NO,MUL,,
FBS_ORGANIZACIONES.AREA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFCABEC,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFCABEC,CODIGOUSUARIOMODIFICA,varchar(25),NO,,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFCABEC,FECHASISTEMA,datetime(3),NO,,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFCABEC,FECHAMAQUINA,datetime(3),NO,,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFCABEC,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFDET,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFDET,SECUENCIALAREAPORCDISTCAB,int,NO,MUL,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFDET,SECUENCIALOFICINA,int,NO,MUL,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFDET,SECUENCIALAREA,int,NO,MUL,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFDET,PORCENTAJE,"decimal(18,2)",NO,,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTMODIFDET,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTRIBUCION,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTRIBUCION,SECUENCIALOFICINA,int,NO,MUL,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTRIBUCION,SECUENCIALAREA,int,NO,MUL,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTRIBUCION,PORCENTAJE,"decimal(18,2)",NO,,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTRIBUCION,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_ORGANIZACIONES.AREAPORCENTAJEDISTRIBUCION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ORGANIZACIONES.CALENDARIOFERIADOOFICINA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ORGANIZACIONES.CALENDARIOFERIADOOFICINA,SECUENCIALCALENDARIO,int,NO,MUL,,
FBS_ORGANIZACIONES.CALENDARIOFERIADOOFICINA,SECUENCIALOFICINA,int,NO,MUL,,
FBS_ORGANIZACIONES.CALENDARIOFERIADOOFICINA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_ORGANIZACIONES.CALENDARIOFERIADOOFICINA,NUMEROVERIFICADOR,int,NO,,,
FBS_ORGANIZACIONES.CALENDARIOFERIADOOFICINA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ORGANIZACIONES.DEPARTAMENTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_ORGANIZACIONES.DEPARTAMENTO,NOMBRE,varchar(100),NO,,,
FBS_ORGANIZACIONES.DEPARTAMENTO,SIGLAS,char(3),NO,,,
FBS_ORGANIZACIONES.DEPARTAMENTO,SECUENCIALEMPRESA,int,NO,MUL,,
FBS_ORGANIZACIONES.DEPARTAMENTO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_ORGANIZACIONES.DEPARTAMENTO,NUMEROVERIFICADOR,int,NO,,,
FBS_ORGANIZACIONES.DEPARTAMENTO,CODIGO,varchar(20),NO,MUL,,
FBS_ORGANIZACIONES.DEPARTAMENTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_ORGANIZACIONES.DEPARTAMENTO_AREA,SECUENCIALDEPARTAMENTO,int,NO,PRI,,
FBS_ORGANIZACIONES.DEPARTAMENTO_AREA,SECUENCIALAREA,int,NO,MUL,,
FBS_ORGANIZACIONES.DEPARTAMENTO_AREA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_ORGANIZACIONES.DEPARTAMENTO_AREA,NUMEROVERIFICADOR,int,NO,,,
