Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_PERSONAS.APODERADO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PERSONAS.APODERADO,SECUENCIALPERSONA,int,NO,MUL,,
FBS_PERSONAS.APODERADO,SECUENCIALPERSONAAPODER,int,NO,MUL,,
FBS_PERSONAS.APODERADO,SECUENCIALEMPRESA,int,NO,MUL,,
FBS_PERSONAS.APODERADO,ESPRINCIPAL,tinyint unsigned,NO,,,
FBS_PERSONAS.APODERADO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_PERSONAS.APODERADO,NUMEROVERIFICADOR,int,NO,,,
FBS_PERSONAS.APODERADO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PERSONAS.BUSQUEDALISTACONTROL,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PERSONAS.BUSQUEDALISTACONTROL,IDENTIFICACION,varchar(20),NO,,,
FBS_PERSONAS.BUSQUEDALISTACONTROL,NOMBREUNIDO,varchar(200),NO,,,
FBS_PERSONAS.BUSQUEDALISTACONTROL,FECHASISTEMABUSQUEDA,datetime(3),NO,,,
FBS_PERSONAS.BUSQUEDALISTACONTROL,FECHAMAQUINABUSQUEDA,datetime(3),NO,,,
FBS_PERSONAS.BUSQUEDALISTACONTROL,CODIGOUSUARIOBUSQUEDA,varchar(25),NO,MUL,,
FBS_PERSONAS.BUSQUEDALISTACONTROL,NUMEROVERIFICADOR,int,NO,,,
FBS_PERSONAS.BUSQUEDALISTACONTROL,COINCIDENCIA,tinyint unsigned,NO,,,
FBS_PERSONAS.BUSQUEDALISTACONTROL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PERSONAS.CARGASFAMILIARES,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PERSONAS.CARGASFAMILIARES,SECUENCIALPERSONA,int,NO,MUL,,
FBS_PERSONAS.CARGASFAMILIARES,NOMBRES,varchar(400),NO,,,
FBS_PERSONAS.CARGASFAMILIARES,FECHANACIMIENTO,datetime(3),NO,,,
FBS_PERSONAS.CARGASFAMILIARES,CODIGOTIPOEDUCACION,char(2),NO,MUL,,
FBS_PERSONAS.CARGASFAMILIARES,CODIGOPLANTELEDUCATIVO,varchar(10),NO,MUL,,
FBS_PERSONAS.CARGASFAMILIARES,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_PERSONAS.CARGASFAMILIARES,NUMEROVERIFICADOR,int,NO,,,
FBS_PERSONAS.CARGASFAMILIARES,CODIGOPARENTESCO,varchar(20),NO,MUL,,
FBS_PERSONAS.CARGASFAMILIARES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PERSONAS.CATEGORIAPROFESION,CODIGO,varchar(10),NO,PRI,,
FBS_PERSONAS.CATEGORIAPROFESION,NOMBRE,varchar(100),NO,,,
FBS_PERSONAS.CATEGORIAPROFESION,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_PERSONAS.CATEGORIAPROFESION,NUMEROVERIFICADOR,int,NO,,,
FBS_PERSONAS.CATEGORIAPROFESION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PERSONAS.CAUSALVINCULACION,CODIGO,varchar(10),NO,PRI,,
FBS_PERSONAS.CAUSALVINCULACION,DESCRIPCION,varchar(500),NO,,,
FBS_PERSONAS.CAUSALVINCULACION,POROMISION,tinyint unsigned,NO,,,
FBS_PERSONAS.CAUSALVINCULACION,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_PERSONAS.CAUSALVINCULACION,NUMEROVERIFICADOR,int,NO,,,
FBS_PERSONAS.CAUSALVINCULACION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PERSONAS.EMPRESA_PARAMETROCARGALISTA,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_PERSONAS.EMPRESA_PARAMETROCARGALISTA,PROCESANDO,tinyint unsigned,NO,,,
FBS_PERSONAS.EMPRESA_PARAMETROCARGALISTA,VIGENCIAAUTORIZACION,int,NO,,,
FBS_PERSONAS.EMPRESA_PARAMETROCARGALISTA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PERSONAS.EMPRESA_PARAMVALIDAACTUALIZACION,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_PERSONAS.EMPRESA_PARAMVALIDAACTUALIZACION,DIASVIGENCIA,int,NO,,,
FBS_PERSONAS.EMPRESA_PARAMVALIDAACTUALIZACION,NUMEROALERTAS,int,NO,,,
FBS_PERSONAS.EMPRESA_PARAMVALIDAACTUALIZACION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PERSONAS.ESTADOCIVIL,CODIGO,char(1),NO,PRI,,
FBS_PERSONAS.ESTADOCIVIL,NOMBRE,varchar(50),NO,,,
FBS_PERSONAS.ESTADOCIVIL,REQUIERECONYUGE,tinyint unsigned,NO,,,
FBS_PERSONAS.ESTADOCIVIL,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_PERSONAS.ESTADOCIVIL,NUMEROVERIFICADOR,int,NO,,,
FBS_PERSONAS.ESTADOCIVIL,CODIGOSBS,varchar(1),NO,,,
