Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_PORTAFOLIO.BANCOCONTROL,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PORTAFOLIO.BANCOCONTROL,SECUENCIALBANCO,int,NO,MUL,,
FBS_PORTAFOLIO.BANCOCONTROL,SECUENCIALCUENTACONTABLE,int,NO,MUL,,
FBS_PORTAFOLIO.BANCOCONTROL,CODIGOESTADOINVERSION,char(1),NO,MUL,,
FBS_PORTAFOLIO.BANCOCONTROL,TIPOCUENTA,char(50),NO,,,
FBS_PORTAFOLIO.BANCOCONTROL,NUMEROCUENTA,char(30),NO,,,
FBS_PORTAFOLIO.BANCOCONTROL,BASECALCULOINTERES,"decimal(18,2)",NO,,,
FBS_PORTAFOLIO.BANCOCONTROL,TASA,"decimal(3,2)",NO,,,
FBS_PORTAFOLIO.BANCOCONTROL,MONTOBASE,"decimal(18,2)",NO,,,
FBS_PORTAFOLIO.BANCOCONTROL,NUMEROVERIFICADOR,int,NO,,,
FBS_PORTAFOLIO.BANCOCONTROL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PORTAFOLIO.BANCOCONTROL_PROVISIONINTERES,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PORTAFOLIO.BANCOCONTROL_PROVISIONINTERES,SECUENCIALBANCOCONTROL,int,NO,MUL,,
FBS_PORTAFOLIO.BANCOCONTROL_PROVISIONINTERES,FECHASISTEMA,datetime(3),NO,,,
FBS_PORTAFOLIO.BANCOCONTROL_PROVISIONINTERES,SALDOCONTABLEANTERIOR,"decimal(18,2)",NO,,,
FBS_PORTAFOLIO.BANCOCONTROL_PROVISIONINTERES,VALORCALCULO,"decimal(18,2)",NO,,,
FBS_PORTAFOLIO.BANCOCONTROL_PROVISIONINTERES,INTERES,"decimal(18,2)",NO,,,
FBS_PORTAFOLIO.BANCOCONTROL_PROVISIONINTERES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PORTAFOLIO.BANCOCONTROL_PROVISIONINTERESMENSUAL,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PORTAFOLIO.BANCOCONTROL_PROVISIONINTERESMENSUAL,SECUENCIALBANCOCONTROL,int,NO,MUL,,
