Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_PRESUPUESTOS.EMPRESAPARAMETROPRESUPUESTO,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_PRESUPUESTOS.EMPRESAPARAMETROPRESUPUESTO,CODIGOROL,varchar(20),NO,MUL,,
FBS_PRESUPUESTOS.EMPRESAPARAMETROPRESUPUESTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.ITEMMETA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.ITEMMETA,CODIGOTIPOMETA,char(5),NO,MUL,,
FBS_PRESUPUESTOS.ITEMMETA,NOMBRE,varchar(500),NO,,,
FBS_PRESUPUESTOS.ITEMMETA,POSICION,int,NO,,,
FBS_PRESUPUESTOS.ITEMMETA,DESCRIPCION,longtext,NO,,,
FBS_PRESUPUESTOS.ITEMMETA,TIPODATO,varchar(50),NO,,,
FBS_PRESUPUESTOS.ITEMMETA,ESPARACALCULO,tinyint unsigned,NO,,,
FBS_PRESUPUESTOS.ITEMMETA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_PRESUPUESTOS.ITEMMETA,NUMEROVERIFICADOR,int,NO,,,
FBS_PRESUPUESTOS.ITEMMETA,ESBONOPRODUCTIVIDAD,tinyint unsigned,NO,,,
FBS_PRESUPUESTOS.ITEMMETA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.ITEMMETA_METODO,SECUENCIALITEMMETA,int,NO,PRI,,
FBS_PRESUPUESTOS.ITEMMETA_METODO,NOMBREMETODO,varchar(100),NO,,,
FBS_PRESUPUESTOS.ITEMMETA_METODO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.META,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.META,CODIGOTIPOMETA,char(5),NO,MUL,,
FBS_PRESUPUESTOS.META,SECUENCIALOFICINA,int,NO,MUL,,
FBS_PRESUPUESTOS.META,NOMBRE,varchar(50),NO,,,
FBS_PRESUPUESTOS.META,MES,int,NO,,,
FBS_PRESUPUESTOS.META,ANIO,int,NO,,,
FBS_PRESUPUESTOS.META,FECHASISTEMA,datetime(3),NO,,,
FBS_PRESUPUESTOS.META,FECHAMAQUINA,datetime(3),NO,,,
FBS_PRESUPUESTOS.META,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_PRESUPUESTOS.META,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_PRESUPUESTOS.META,NUMEROVERIFICADOR,int,NO,,,
FBS_PRESUPUESTOS.META,ESTACERRADA,tinyint unsigned,NO,,,
FBS_PRESUPUESTOS.META,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.META_CIERRE,SECUENCIALMETA,int,NO,PRI,,
FBS_PRESUPUESTOS.META_CIERRE,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_PRESUPUESTOS.META_CIERRE,FECHASISTEMA,datetime(3),NO,,,
FBS_PRESUPUESTOS.META_CIERRE,FECHAMAQUINA,datetime(3),NO,,,
FBS_PRESUPUESTOS.META_CIERRE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.PRESUPOFICCTACBLE_AUXCBLEAJU,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.PRESUPOFICCTACBLE_AUXCBLEAJU,SECPRESUPOFICCTACBLEAUXCBLE,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPOFICCTACBLE_AUXCBLEAJU,VALORAJUSTEDEUDOR,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPOFICCTACBLE_AUXCBLEAJU,VALORAJUSTEACREEDOR,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPOFICCTACBLE_AUXCBLEAJU,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_PRESUPUESTOS.PRESUPOFICCTACBLE_AUXCBLEAJU,FECHASISTEMA,datetime(3),NO,,,
FBS_PRESUPUESTOS.PRESUPOFICCTACBLE_AUXCBLEAJU,FECHAMAQUINA,datetime(3),NO,,,
FBS_PRESUPUESTOS.PRESUPOFICCTACBLE_AUXCBLEAJU,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.PRESUPUESTO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.PRESUPUESTO,SECUENCIALEMPRESA,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTO,NOMBRE,varchar(250),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTO,DESCRIPCION,varchar(500),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTO,ANIO,int,NO,,,
FBS_PRESUPUESTOS.PRESUPUESTO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_PRESUPUESTOS.PRESUPUESTO,NUMEROVERIFICADOR,int,NO,,,
