Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_RECAUDACIONES.CANALINTERFAZ,CODIGO,varchar(20),NO,PRI,,
FBS_RECAUDACIONES.CANALINTERFAZ,NOMBRE,varchar(500),YES,,,
FBS_RECAUDACIONES.CANALINTERFAZ,SECUENCIALBANCO,int,YES,MUL,,
FBS_RECAUDACIONES.CANALINTERFAZ,ESTAACTIVO,tinyint,YES,,,
FBS_RECAUDACIONES.CANALINTERFAZ,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_RECAUDACIONES.EMPRESA_PARAMETROINTERFAZ,SECUENCIALBANCO,int,NO,PRI,,
FBS_RECAUDACIONES.EMPRESA_PARAMETROINTERFAZ,SECUENCIALTRANSACCIONCREDITO,int,NO,MUL,,
FBS_RECAUDACIONES.EMPRESA_PARAMETROINTERFAZ,SECUENCIALTRANSACCIONABONOPRESTAMO,int,NO,MUL,,
FBS_RECAUDACIONES.EMPRESA_PARAMETROINTERFAZ,SECUENCIALCOMPONENTECAUSAL,int,NO,MUL,,
FBS_RECAUDACIONES.EMPRESA_PARAMETROINTERFAZ,SECUENCIALAUXILIARCONTABLE,int,NO,,,
FBS_RECAUDACIONES.EMPRESA_PARAMETROINTERFAZ,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_RECAUDACIONES.FORMAPAGOINTERFAZ,CODIGO,varchar(20),NO,PRI,,
FBS_RECAUDACIONES.FORMAPAGOINTERFAZ,NOMBRE,varchar(500),YES,,,
FBS_RECAUDACIONES.FORMAPAGOINTERFAZ,SECUENCIALBANCO,int,YES,MUL,,
FBS_RECAUDACIONES.FORMAPAGOINTERFAZ,ESTAACTIVO,tinyint,YES,,,
FBS_RECAUDACIONES.FORMAPAGOINTERFAZ,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,SECUENCIALBANCO,int,NO,MUL,,
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,IDTRANSACCION,varchar(100),NO,,,
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,JSONENTRADA,varchar(900),YES,,,
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,JSONSALIDA,varchar(900),YES,,,
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,PROCESADO,tinyint,NO,,,
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,DOCUMENTOAFECTACION,varchar(100),YES,,,
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,GENEROTIMEOUT,tinyint,NO,,,
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,DOCUMENTOREVERSO,varchar(100),NO,,,
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,REVERSADO,tinyint,NO,,,
FBS_RECAUDACIONES.HISTORICORECAUDACIONES,SECUENCIAL,int,NO,PRI,,auto_increment
