Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_REMESAS.CHEQUE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REMESAS.CHEQUE,CODIGOCUENTACORRIENTE,varchar(20),NO,,,
FBS_REMESAS.CHEQUE,CODIGOCHEQUE,varchar(20),NO,,,
FBS_REMESAS.CHEQUE,SECUENCIALBANCOEMISOR,int,NO,MUL,,
FBS_REMESAS.CHEQUE,SECUENCIALMONEDA,int,NO,MUL,,
FBS_REMESAS.CHEQUE,VALOR,"decimal(18,2)",NO,,,
FBS_REMESAS.CHEQUE,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_REMESAS.CHEQUE,ESTAENBOVEDA,tinyint unsigned,NO,,,
FBS_REMESAS.CHEQUE,FECHASISTEMAINGRESO,datetime(3),NO,,,
FBS_REMESAS.CHEQUE,FECHAMAQUINAINGRESO,datetime(3),NO,,,
FBS_REMESAS.CHEQUE,CODIGOESTADOCHEQUE,varchar(20),NO,MUL,,
FBS_REMESAS.CHEQUE,NUMEROVERIFICADOR,int,NO,,,
FBS_REMESAS.CHEQUE,ESCERTIFICADO,tinyint unsigned,NO,,,
FBS_REMESAS.CHEQUE,TIPOCHEQUE,varchar(20),NO,,,
FBS_REMESAS.CHEQUE,GIRADOR,varchar(200),NO,,,
FBS_REMESAS.CHEQUE,SECMIGRA,int,YES,,,
FBS_REMESAS.CHEQUE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REMESAS.CHEQUETRANSFERENCIABOVEDAS,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REMESAS.CHEQUETRANSFERENCIABOVEDAS,SECUENCIALCHEQUE,int,NO,MUL,,
FBS_REMESAS.CHEQUETRANSFERENCIABOVEDAS,SECUENCIALBOVEDASOLICITA,int,NO,MUL,,
FBS_REMESAS.CHEQUETRANSFERENCIABOVEDAS,SECUENCIALBOVEDAENTREGA,int,NO,MUL,,
FBS_REMESAS.CHEQUETRANSFERENCIABOVEDAS,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_REMESAS.CHEQUETRANSFERENCIABOVEDAS,NUMEROVERIFICADOR,int,NO,,,
FBS_REMESAS.CHEQUETRANSFERENCIABOVEDAS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REMESAS.CHEQUE_BANCOAGENCIA,SECUENCIALCHEQUE,int,NO,PRI,,
FBS_REMESAS.CHEQUE_BANCOAGENCIA,SECUENCIALBANCOAGENCIA,int,NO,MUL,,
FBS_REMESAS.CHEQUE_BANCOAGENCIA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REMESAS.CHEQUE_CLIENTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REMESAS.CHEQUE_CLIENTE,SECUENCIALCHEQUE,int,NO,MUL,,
FBS_REMESAS.CHEQUE_CLIENTE,SECUENCIALCLIENTE,int,NO,MUL,,
FBS_REMESAS.CHEQUE_CLIENTE,CODIGOTIPOPRODUCTO,varchar(30),NO,MUL,,
FBS_REMESAS.CHEQUE_CLIENTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REMESAS.CHEQUE_CUENTA,SECUENCIALCHEQUE,int,NO,PRI,,
FBS_REMESAS.CHEQUE_CUENTA,SECUENCIALCUENTAMAESTRO,int,NO,MUL,,
FBS_REMESAS.CHEQUE_CUENTA,SECUENCIALOFICINADEPOSITO,int,NO,MUL,,
FBS_REMESAS.CHEQUE_CUENTA,FECHASISTEMA,datetime(3),NO,,,
FBS_REMESAS.CHEQUE_CUENTA,FECHAMAQUINA,datetime(3),NO,,,
FBS_REMESAS.CHEQUE_CUENTA,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_REMESAS.CHEQUE_CUENTA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REMESAS.CHEQUE_DEPOSITO,SECUENCIALCHEQUE,int,NO,PRI,,
FBS_REMESAS.CHEQUE_DEPOSITO,SECUENCIALOFICINADEPOSITO,int,NO,MUL,,
FBS_REMESAS.CHEQUE_DEPOSITO,SECUENCIALRUTA,int,NO,MUL,,
FBS_REMESAS.CHEQUE_DEPOSITO,FECHASISTEMA,datetime(3),NO,,,
FBS_REMESAS.CHEQUE_DEPOSITO,FECHAMAQUINA,datetime(3),NO,,,
