Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_REPORTES.CODIFICAGARANTIA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REPORTES.CODIFICAGARANTIA,CODIGOTIPOGARANTIA,char(10),NO,,,
FBS_REPORTES.CODIFICAGARANTIA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPORTES.COMPESTFINAN_CUENTACONTABLE,SECUENCIAL,int,NO,PRI,,
FBS_REPORTES.COMPESTFINAN_CUENTACONTABLE,SECUENCIALCOMPESTFINAN,int,NO,,,
FBS_REPORTES.COMPESTFINAN_CUENTACONTABLE,SECUENCIALCUENTACONTABLE,int,NO,MUL,,
FBS_REPORTES.COMPESTFINAN_CUENTACONTABLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPORTES.COMPONENTESESTADOSFINANCIEROS,SECUENCIAL,int,NO,PRI,,
FBS_REPORTES.COMPONENTESESTADOSFINANCIEROS,NOMBRE,varchar(50),NO,,,
FBS_REPORTES.COMPONENTESESTADOSFINANCIEROS,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_REPORTES.COMPONENTESESTADOSFINANCIEROS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,ORDEN,int,NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,FECHA,datetime(3),NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,RUBRO,varchar(100),NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,ACTIVO,"decimal(18,2)",NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,PASIVO,"decimal(18,2)",NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,FONDOSDISPONIBLE,"decimal(18,2)",NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,CARTERA,"decimal(18,2)",NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,OBLIGACIONESPUBLICO,"decimal(18,2)",NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,PATRIMONIO,"decimal(18,2)",NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,RESULTADOS,"decimal(18,2)",NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,GASTOS,"decimal(18,2)",NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,INGRESOS,"decimal(18,2)",NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,APORTESOCIOS,"decimal(18,2)",NO,,,
FBS_REPORTES.CRECICOMPESTADOSFINANCIEROS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPORTES.CUENTACONTABLEITEMFLUJO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REPORTES.CUENTACONTABLEITEMFLUJO,SECUENCIALITEMFLUJO,int,NO,MUL,,
FBS_REPORTES.CUENTACONTABLEITEMFLUJO,SECUENCIALCUENTACONTABLE,int,NO,MUL,,
FBS_REPORTES.CUENTACONTABLEITEMFLUJO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_REPORTES.CUENTACONTABLEITEMFLUJO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPORTES.CUENTASSOBREGIRADAS,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REPORTES.CUENTASSOBREGIRADAS,ORDEN,int,NO,,,
FBS_REPORTES.CUENTASSOBREGIRADAS,CODIGO,varchar(50),NO,,,
FBS_REPORTES.CUENTASSOBREGIRADAS,CUENTA,varchar(100),NO,,,
FBS_REPORTES.CUENTASSOBREGIRADAS,TOTAL,"decimal(18,2)",NO,,,
FBS_REPORTES.CUENTASSOBREGIRADAS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPORTES.DETALLECOMPARATIVOGASTOS,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REPORTES.DETALLECOMPARATIVOGASTOS,FECHA,datetime(3),NO,,,
FBS_REPORTES.DETALLECOMPARATIVOGASTOS,ORDEN,int,NO,,,
FBS_REPORTES.DETALLECOMPARATIVOGASTOS,TIPO,varchar(5),NO,,,
FBS_REPORTES.DETALLECOMPARATIVOGASTOS,CODIGO,varchar(20),NO,,,
FBS_REPORTES.DETALLECOMPARATIVOGASTOS,CUENTA,varchar(100),NO,,,
FBS_REPORTES.DETALLECOMPARATIVOGASTOS,TOTAL,"decimal(18,2)",NO,,,
FBS_REPORTES.DETALLECOMPARATIVOGASTOS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPORTES.DETALLECOMPARATIVOINGRESOS,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REPORTES.DETALLECOMPARATIVOINGRESOS,FECHA,datetime(3),NO,,,
FBS_REPORTES.DETALLECOMPARATIVOINGRESOS,ORDEN,int,NO,,,
FBS_REPORTES.DETALLECOMPARATIVOINGRESOS,TIPO,varchar(5),NO,,,
FBS_REPORTES.DETALLECOMPARATIVOINGRESOS,CODIGO,varchar(20),NO,,,
FBS_REPORTES.DETALLECOMPARATIVOINGRESOS,CUENTA,varchar(100),NO,,,
FBS_REPORTES.DETALLECOMPARATIVOINGRESOS,TOTAL,"decimal(18,2)",NO,,,
FBS_REPORTES.DETALLECOMPARATIVOINGRESOS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPORTES.FIRMAS,CODIGOROL,varchar(20),NO,PRI,,
FBS_REPORTES.FIRMAS,DESCRIPCION,varchar(100),NO,,,
FBS_REPORTES.FIRMAS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPORTES.INDICADORDETALLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REPORTES.INDICADORDETALLE,TIPO,char(3),NO,,,
FBS_REPORTES.INDICADORDETALLE,SIGLAS,varchar(200),NO,,,
FBS_REPORTES.INDICADORDETALLE,ORDEN,int,NO,,,
FBS_REPORTES.INDICADORDETALLE,NOMBRE,varchar(200),NO,,,
FBS_REPORTES.INDICADORDETALLE,NOMBREFUNCIONEXTRAE,varchar(200),NO,,,
FBS_REPORTES.INDICADORDETALLE,TIENESALDO,tinyint unsigned,NO,,,
FBS_REPORTES.INDICADORDETALLE,ESTACTIVO,tinyint unsigned,NO,,,
FBS_REPORTES.INDICADORDETALLE,NUMEROVERIFICADOR,int,NO,,,
FBS_REPORTES.INDICADORDETALLE,ESPORCENTAJE,tinyint unsigned,NO,,,
