Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,VALOR,"decimal(18,2)",NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,ESDEBITO,tinyint unsigned,NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,DOCUMENTO,varchar(50),NO,MUL,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,DETALLE,varchar(500),NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,ESTACONTABILIZADO,tinyint unsigned,NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,SECUENCIALCUENTACONTABLE,int,NO,MUL,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,SECUENCIALOFICINA,int,NO,MUL,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,SECUENCIALPERFILCONTABLE,int,NO,MUL,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,SECUENCIALMONEDA,int,NO,MUL,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,FECHASISTEMAREGISTRO,datetime(3),NO,MUL,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,FECHAMAQUINAREGISTRO,datetime(3),NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,GENERARCHEQUE,tinyint unsigned,NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,ESREVERSO,tinyint unsigned,NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,NUMEROVERIFICADOR,int,NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,ESMONEDAEXTRANJERA,tinyint unsigned,NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,COTIZACION,"decimal(18,3)",NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,VALORPORMONEDAEXTRANJERA,"decimal(18,2)",NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,ESMOVIMIENTO,tinyint unsigned,NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,ESMOVIMIENTOCONTROL,tinyint unsigned,NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLEAREA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLEAREA,SECUENCIALREGISTROCONTABLE,int,NO,MUL,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLEAREA,SECUENCIALAREA,int,NO,MUL,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLEAREA,SECUENCIALOFICINA,int,NO,MUL,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLEAREA,VALOR,"decimal(18,2)",NO,,,
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLEAREA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_REPOSITORIOCONTABLE.REGISTROCONTABLE_AUXILIARCBLE,SECUENCIALREGISTROCONTABLE,int,NO,PRI,,
