Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_SEGURIDADESFBS.CARACTERISTICAPERSONALIZADAPRE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_SEGURIDADESFBS.CARACTERISTICAPERSONALIZADAPRE,CODIGOCARACTERISTICA,varchar(10),NO,MUL,,
FBS_SEGURIDADESFBS.CARACTERISTICAPERSONALIZADAPRE,SECUENCIALPRESENTADOR,int,NO,MUL,,
FBS_SEGURIDADESFBS.CARACTERISTICAPERSONALIZADAPRE,SECUENCIALENTIDAD,int,NO,,,
FBS_SEGURIDADESFBS.CARACTERISTICAPERSONALIZADAPRE,CODIGOENTIDAD,varchar(20),NO,,,
FBS_SEGURIDADESFBS.CARACTERISTICAPERSONALIZADAPRE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_SEGURIDADESFBS.CARACTERISTICAPERSONALIZADAPRE,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGURIDADESFBS.CARACTERISTICAPERSONALIZADAPRE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGURIDADESFBS.FUNCIONALIDAD,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_SEGURIDADESFBS.FUNCIONALIDAD,WORKITEM,varchar(250),NO,,,
FBS_SEGURIDADESFBS.FUNCIONALIDAD,DESCRIPCION,varchar(250),NO,,,
FBS_SEGURIDADESFBS.FUNCIONALIDAD,SECUENCIALMODULO,int,NO,MUL,,
FBS_SEGURIDADESFBS.FUNCIONALIDAD,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_SEGURIDADESFBS.FUNCIONALIDAD,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGURIDADESFBS.FUNCIONALIDAD,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGURIDADESFBS.FUNCIONALIDAD_METODO,SECUENCIALFUNCIONALIDAD,int,NO,PRI,,
FBS_SEGURIDADESFBS.FUNCIONALIDAD_METODO,METODOAEJECUTAR,varchar(100),NO,,,
FBS_SEGURIDADESFBS.FUNCIONALIDAD_METODO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_SEGURIDADESFBS.FUNCIONALIDAD_METODO,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGURIDADESFBS.FUNCIONALIDAD_METODO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGURIDADESFBS.MENU,SECUENCIALDIVISION,int,NO,PRI,,
FBS_SEGURIDADESFBS.MENU,ORDEN,int,NO,,,
FBS_SEGURIDADESFBS.MENU,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_SEGURIDADESFBS.MENU,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGURIDADESFBS.MENU,DESCRIPCION,varchar(250),NO,,,
FBS_SEGURIDADESFBS.MENU,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGURIDADESFBS.MENUFUNCIONALIDAD,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_SEGURIDADESFBS.MENUFUNCIONALIDAD,SECUENCIALMENU,int,NO,UNI,,
FBS_SEGURIDADESFBS.MENUFUNCIONALIDAD,SECUENCIALFUNCIONALIDAD,int,NO,MUL,,
FBS_SEGURIDADESFBS.MENUFUNCIONALIDAD,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_SEGURIDADESFBS.MENUFUNCIONALIDAD,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGURIDADESFBS.MENUFUNCIONALIDAD,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGURIDADESFBS.MENU_IMAGEN,SECUENCIALMENU,int,NO,PRI,,
FBS_SEGURIDADESFBS.MENU_IMAGEN,IMAGEN,varchar(250),NO,,,
FBS_SEGURIDADESFBS.MENU_IMAGEN,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGURIDADESFBS.MODULO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_SEGURIDADESFBS.MODULO,NOMBRE,varchar(50),NO,,,
FBS_SEGURIDADESFBS.MODULO,ENSAMBLADO,varchar(50),NO,,,
FBS_SEGURIDADESFBS.MODULO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_SEGURIDADESFBS.MODULO,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGURIDADESFBS.MODULO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGURIDADESFBS.PRESENTADOR,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_SEGURIDADESFBS.PRESENTADOR,NOMBRE,varchar(200),NO,UNI,,
FBS_SEGURIDADESFBS.PRESENTADOR,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_SEGURIDADESFBS.PRESENTADOR,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGURIDADESFBS.PRESENTADOR,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
