Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_SEGURIDADES.CALIFICACION,SECUENCIAL,int,NO,PRI,,
FBS_SEGURIDADES.CALIFICACION,CODIGOUSUARIOCALIFICADO,varchar(25),NO,MUL,,
FBS_SEGURIDADES.CALIFICACION,CALIFICACIONVALOR,int,NO,,,
FBS_SEGURIDADES.CALIFICACION,FECHACALIFICACION,datetime(3),NO,,,
FBS_SEGURIDADES.CALIFICACION,TIEMPOATENCION,int,NO,,,
FBS_SEGURIDADES.CALIFICACION,CODIGOTIPOSERVICIOCALIFICACION,varchar(20),NO,MUL,,
FBS_SEGURIDADES.CALIFICACION,SECUENCIALOFICINA,int,NO,MUL,,
FBS_SEGURIDADES.CALIFICACION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGURIDADES.EMPRESACLAVESRESTRINGIDAS,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_SEGURIDADES.EMPRESACLAVESRESTRINGIDAS,SECUENCIALEMPRESA,int,NO,MUL,,
FBS_SEGURIDADES.EMPRESACLAVESRESTRINGIDAS,CLAVE,varchar(100),NO,,,
FBS_SEGURIDADES.EMPRESACLAVESRESTRINGIDAS,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_SEGURIDADES.EMPRESACLAVESRESTRINGIDAS,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGURIDADES.EMPRESACLAVESRESTRINGIDAS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,NUMEROCLAVESALMACENAUSUARIO,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,NUMEROINTENTOSINGRESOCLAVEDIA,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,NUMEROINTENTOSINGRESOCLALOGIN,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,NUMEROMINIMOCARACTERESCLAVE,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,NUMEROMAXIMOCARACTERESCLAVE,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,REQUIEREMAYUSCULASCLAVE,tinyint unsigned,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,REQUIEREMINUSCULASCLAVE,tinyint unsigned,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,REQUIERENUMEROSCLAVE,tinyint unsigned,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,ACEPTACARACTERESESPECIALESCLA,tinyint unsigned,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,PERIODICIDADCAMBIOCLAVE,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,REVISADIRECCIONEQUIPOCLIING,tinyint unsigned,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,REVISANOMBREEQUIPOCLIENTEING,tinyint unsigned,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,REVISADIRECCIONNOMEQUIPOCLIING,tinyint unsigned,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,MINUTOSDEINACTIVIDADMAXIMA,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,SESIONUNICAPORUSUARIO,tinyint unsigned,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,SEGUNDOSPARAREVISIONSERVICIO,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,PRIORIDADMINIMACONSULTAUSUARIOS,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEG,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEGMOVIL,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEGMOVIL,MONTOMAXIMO,"decimal(18,2)",NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEGMOVIL,MINUTOSDEINACTIVIDADMAXIMA,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEGMOVIL,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGURIDADES.EMPRESA_PARAMETROVALIDACIONSEGMOVIL,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
