Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_SEGUROS.ESTADOSEGURO,CODIGO,varchar(10),NO,PRI,,
FBS_SEGUROS.ESTADOSEGURO,NOMBRE,varchar(500),NO,,,
FBS_SEGUROS.ESTADOSEGURO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_SEGUROS.ESTADOSEGURO,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGUROS.ESTADOSEGURO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGUROS.SEGUROBENEFICIARIO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_SEGUROS.SEGUROBENEFICIARIO,SECUENCIALSEGURO,int,NO,MUL,,
FBS_SEGUROS.SEGUROBENEFICIARIO,IDENTIFICACIONBENEFICIARIO,varchar(50),NO,,,
FBS_SEGUROS.SEGUROBENEFICIARIO,NOMBREBENEFICIARIO,varchar(100),NO,,,
FBS_SEGUROS.SEGUROBENEFICIARIO,APELLIDOSBENEFICIARIO,varchar(100),NO,,,
FBS_SEGUROS.SEGUROBENEFICIARIO,CODIGOPARENTESCO,varchar(20),NO,MUL,,
FBS_SEGUROS.SEGUROBENEFICIARIO,DIRECCION,varchar(500),NO,,,
FBS_SEGUROS.SEGUROBENEFICIARIO,TELEFONO,varchar(50),NO,,,
FBS_SEGUROS.SEGUROBENEFICIARIO,PORCENTAJE,"decimal(18,2)",NO,,,
FBS_SEGUROS.SEGUROBENEFICIARIO,FECHANACIMIENTO,datetime(3),NO,,,
FBS_SEGUROS.SEGUROBENEFICIARIO,ESMASCULINO,tinyint unsigned,NO,,,
FBS_SEGUROS.SEGUROBENEFICIARIO,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGUROS.SEGUROBENEFICIARIO,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_SEGUROS.SEGUROBENEFICIARIO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGUROS.SEGUROCLIENTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_SEGUROS.SEGUROCLIENTE,SECUENCIALSEGURO,int,NO,MUL,,
FBS_SEGUROS.SEGUROCLIENTE,SECUENCIALCLIENTE,int,NO,MUL,,
FBS_SEGUROS.SEGUROCLIENTE,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_SEGUROS.SEGUROCLIENTE,NUMEROVERIFICADOR,int,NO,,,
FBS_SEGUROS.SEGUROCLIENTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_SEGUROS.SEGUROCOBRO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_SEGUROS.SEGUROCOBRO,SECUENCIALSEGURO,int,NO,MUL,,
FBS_SEGUROS.SEGUROCOBRO,SECUENCIALCUENTACOBRO,int,NO,MUL,,
