Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_TESORERIA.DOCUMENTOSEGURIDAD,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_TESORERIA.DOCUMENTOSEGURIDAD,CODIGO,varchar(20),NO,,,
FBS_TESORERIA.DOCUMENTOSEGURIDAD,CODIGOTIPODOCUMENTOSEGURIDAD,varchar(20),NO,MUL,,
FBS_TESORERIA.DOCUMENTOSEGURIDAD,CODIGOUSUARIOMANTIENE,varchar(25),NO,MUL,,
FBS_TESORERIA.DOCUMENTOSEGURIDAD,CODIGOESTADODOCUMENTOSEGURIDAD,varchar(20),NO,MUL,,
FBS_TESORERIA.DOCUMENTOSEGURIDAD,ESTAACTIVO,tinyint unsigned,NO,,0,
FBS_TESORERIA.DOCUMENTOSEGURIDAD,NUMEROVERIFICADOR,int,NO,,,
FBS_TESORERIA.DOCUMENTOSEGURIDAD,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_TESORERIA.DOCUMENTOSEGURIDADCAMBIOESTADO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_TESORERIA.DOCUMENTOSEGURIDADCAMBIOESTADO,FECHASISTEMA,datetime(3),NO,,,
FBS_TESORERIA.DOCUMENTOSEGURIDADCAMBIOESTADO,FECHAMAQUINA,datetime(3),NO,,,
FBS_TESORERIA.DOCUMENTOSEGURIDADCAMBIOESTADO,SECUENCIALDOCUMENTOSEGURIDAD,int,NO,MUL,,
FBS_TESORERIA.DOCUMENTOSEGURIDADCAMBIOESTADO,CODIGOUSUARIOMANTIENE,varchar(25),NO,MUL,,
FBS_TESORERIA.DOCUMENTOSEGURIDADCAMBIOESTADO,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_TESORERIA.DOCUMENTOSEGURIDADCAMBIOESTADO,CODIGOESTADODOCUMENTOSEGURIDAD,varchar(20),NO,MUL,,
FBS_TESORERIA.DOCUMENTOSEGURIDADCAMBIOESTADO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_TESORERIA.DOCUMENTOSEGURIDAD_MOVIMIENTO,SECUENCIALDOCUMENTOSEGURIDAD,int,NO,PRI,,
FBS_TESORERIA.DOCUMENTOSEGURIDAD_MOVIMIENTO,SECUENCIALMOVIMIENTO,int,NO,MUL,,
FBS_TESORERIA.DOCUMENTOSEGURIDAD_MOVIMIENTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_TESORERIA.EMPRESA_PARAMETRODOCUMENTOSEGURIDAD,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_TESORERIA.EMPRESA_PARAMETRODOCUMENTOSEGURIDAD,CONTROLALIBRETAS,tinyint unsigned,NO,,0,
FBS_TESORERIA.EMPRESA_PARAMETRODOCUMENTOSEGURIDAD,CONTROLACERTIFICADOSDPF,tinyint unsigned,NO,,0,
FBS_TESORERIA.EMPRESA_PARAMETRODOCUMENTOSEGURIDAD,NUMEROVERIFICADOR,int,NO,,,
FBS_TESORERIA.EMPRESA_PARAMETRODOCUMENTOSEGURIDAD,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_TESORERIA.ESTADODOCUMENTOSEGURIDAD,CODIGO,varchar(20),NO,PRI,,
FBS_TESORERIA.ESTADODOCUMENTOSEGURIDAD,NOMBRE,varchar(50),NO,,,
FBS_TESORERIA.ESTADODOCUMENTOSEGURIDAD,ESTAACTIVO,tinyint unsigned,NO,,0,
FBS_TESORERIA.ESTADODOCUMENTOSEGURIDAD,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_TESORERIA.TIPODOCSEGUSUARIOPROCESAESTADO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_TESORERIA.TIPODOCSEGUSUARIOPROCESAESTADO,CODIGOTIPODOCUMENTOSEGURIDAD,varchar(20),NO,MUL,,
FBS_TESORERIA.TIPODOCSEGUSUARIOPROCESAESTADO,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_TESORERIA.TIPODOCSEGUSUARIOPROCESAESTADO,CODIGOESTADODOCUMENTOSEGURIDAD,varchar(20),NO,MUL,,
FBS_TESORERIA.TIPODOCSEGUSUARIOPROCESAESTADO,ESTAACTIVO,tinyint unsigned,NO,,0,
FBS_TESORERIA.TIPODOCSEGUSUARIOPROCESAESTADO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_TESORERIA.TIPODOCUMENTOSEGURIDAD,CODIGO,varchar(20),NO,PRI,,
FBS_TESORERIA.TIPODOCUMENTOSEGURIDAD,NOMBRE,varchar(50),NO,,,
FBS_TESORERIA.TIPODOCUMENTOSEGURIDAD,INGRESOUNITARIO,tinyint unsigned,NO,,0,
FBS_TESORERIA.TIPODOCUMENTOSEGURIDAD,INGRESOLOTE,tinyint unsigned,NO,,0,
FBS_TESORERIA.TIPODOCUMENTOSEGURIDAD,INGRESOPORCANTIDAD,tinyint unsigned,NO,,0,
FBS_TESORERIA.TIPODOCUMENTOSEGURIDAD,USOMANUAL,tinyint unsigned,NO,,0,
FBS_TESORERIA.TIPODOCUMENTOSEGURIDAD,ESTAACTIVO,tinyint unsigned,NO,,0,
FBS_TESORERIA.TIPODOCUMENTOSEGURIDAD,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
