Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_VALIDACIONES.VALIDACION,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_VALIDACIONES.VALIDACION,MODULO,varchar(50),NO,,,
FBS_VALIDACIONES.VALIDACION,DESCRIPCION,longtext,NO,,,
FBS_VALIDACIONES.VALIDACION,NUMEROREGISTROS,int,NO,,,
FBS_VALIDACIONES.VALIDACION,FECHAVALIDACION,datetime(3),NO,,,
FBS_VALIDACIONES.VALIDACION,FECHASISTEMA,datetime(3),NO,,,
FBS_VALIDACIONES.VALIDACION,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_VALIDACIONES.VALIDACIONDETALLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_VALIDACIONES.VALIDACIONDETALLE,SECUENCIALVALIDACION,int,NO,MUL,,
FBS_VALIDACIONES.VALIDACIONDETALLE,DETALLE,longtext,NO,,,
