Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,FECHASISTEMA,datetime(3),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,FECHAMAQUINA,datetime(3),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,VALOR,"decimal(18,2)",NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,SECUENCIALPERSONA,int,NO,MUL,0,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,ESTAIMPRESO,tinyint unsigned,NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,MONTOTRANSACCION,"decimal(18,2)",NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,ESANULADO,tinyint unsigned,NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,SECUENCIALOFICINA,int,NO,MUL,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,NOMBRETRANSACCION,varchar(500),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,NUMEROOPERACION,varchar(50),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,SECUENCIALMONEDA,int,NO,MUL,1,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,CODIGOTIPOFONDOS,varchar(5),NO,,001,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,CODIGOTIPOOPERACION,varchar(5),NO,,001,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,DESCRIPCIONTIPOOPERACION,varchar(80),NO,,001,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,TIPOPRODUCTO,varchar(50),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,ESPRINCIPAL,tinyint unsigned,NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,VALORMONEDALOCAL,"decimal(18,2)",NO,,0.00,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_VALIDACIONTRANSACCIONAL.ANEXO2DOCUMENTOSADJUNTOS,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_VALIDACIONTRANSACCIONAL.ANEXO2DOCUMENTOSADJUNTOS,SECUENCIALANEXO2,int,NO,MUL,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2DOCUMENTOSADJUNTOS,NOMBREARCHIVO,varchar(100),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2DOCUMENTOSADJUNTOS,PATHDOCUMENTO,varchar(100),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2DOCUMENTOSADJUNTOS,EXTENSION,varchar(10),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2DOCUMENTOSADJUNTOS,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2DOCUMENTOSADJUNTOS,NUMEROVERIFICADOR,int,NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2DOCUMENTOSADJUNTOS,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,FECHASISTEMA,datetime(3),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,FECHAMAQUINA,datetime(3),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,VALOR,"decimal(18,2)",NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,SECUENCIALPERSONA,int,NO,MUL,0,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,ESTAIMPRESO,tinyint unsigned,NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,MONTOTRANSACCION,"decimal(18,2)",NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,ESANULADO,tinyint unsigned,NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,SECUENCIALOFICINA,int,NO,MUL,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,NOMBRETRANSACCION,varchar(500),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,NUMEROOPERACION,varchar(50),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,SECUENCIALMONEDA,int,NO,MUL,1,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,CODIGOTIPOFONDOS,varchar(5),NO,,001,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,CODIGOTIPOOPERACION,varchar(5),NO,,001,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,DESCRIPCIONTIPOOPERACION,varchar(80),NO,,001,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,TIPOPRODUCTO,varchar(50),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,VALORMONEDALOCAL,"decimal(18,2)",NO,,0.00,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSADOCADJ,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSADOCADJ,SECUENCIALANEXO2OPERACIONSOSPE,int,NO,MUL,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSADOCADJ,NOMBREARCHIVO,varchar(100),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSADOCADJ,PATHDOCUMENTO,varchar(100),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSADOCADJ,EXTENSION,varchar(10),NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSADOCADJ,ESTAACTIVO,tinyint,NO,,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERACIONSOSPECHOSADOCADJ,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERSOSPECHOSA_DATOSADIC,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERSOSPECHOSA_DATOSADIC,SECUENCIALANEXO2OPERACIONSOSPECHOSA,int,NO,MUL,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERSOSPECHOSA_DATOSADIC,IDENTIFICACION,varchar(13),NO,MUL,,
FBS_VALIDACIONTRANSACCIONAL.ANEXO2OPERSOSPECHOSA_DATOSADIC,NOMBRE,varchar(100),NO,,,
