Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_WORKFLOW.ETAPA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_WORKFLOW.ETAPA,NOMBRE,varchar(50),NO,,,
FBS_WORKFLOW.ETAPA,SECUENCIALPROCESO,int,NO,MUL,,
FBS_WORKFLOW.ETAPA,ORDEN,int,NO,,,
FBS_WORKFLOW.ETAPA,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_WORKFLOW.ETAPA,NUMEROVERIFICADOR,int,NO,,,
FBS_WORKFLOW.ETAPA,ESOPCIONAL,tinyint unsigned,NO,,0,
FBS_WORKFLOW.ETAPA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_WORKFLOW.ETAPARETORNO,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_WORKFLOW.ETAPARETORNO,SECUENCIALETAPA,int,NO,MUL,,
FBS_WORKFLOW.ETAPARETORNO,SECUENCIALETAPARETORNA,int,NO,MUL,,
FBS_WORKFLOW.ETAPARETORNO,ELIMINAHISTORIAL,tinyint unsigned,NO,,,
FBS_WORKFLOW.ETAPARETORNO,ESTAACTIVA,tinyint unsigned,NO,,,
FBS_WORKFLOW.ETAPARETORNO,NUMEROVERIFICADOR,int,NO,,,
FBS_WORKFLOW.ETAPARETORNO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_WORKFLOW.GRUPOTRABAJO,CODIGO,varchar(20),NO,PRI,,
FBS_WORKFLOW.GRUPOTRABAJO,NOMBRE,varchar(100),NO,,,
FBS_WORKFLOW.GRUPOTRABAJO,SECUENCIALOFICINA,int,NO,MUL,,
FBS_WORKFLOW.GRUPOTRABAJO,ESUNITARIO,tinyint unsigned,NO,,,
FBS_WORKFLOW.GRUPOTRABAJO,ALMENOSUNO,tinyint unsigned,NO,,,
FBS_WORKFLOW.GRUPOTRABAJO,REQUIEREORDEN,tinyint unsigned,NO,,,
